Track,for,Harvey,2011,,
Date,Time,(UTC),Latitude,Longitude,
MM/DD/Year,HH:MM:SS,(deg),(deg),,
8/18/2011,23:53:59,15.395,N,81.988,W
8/18/2011,23:55:59,15.397,N,81.992,W
8/18/2011,23:58:00,15.398,N,81.996,W
8/19/2011,0:00:00,15.4,N,82,W
8/19/2011,0:01:59,15.402,N,82.004,W
8/19/2011,0:04:00,15.403,N,82.008,W
8/19/2011,0:06:00,15.405,N,82.012,W
8/19/2011,0:07:59,15.407,N,82.016,W
8/19/2011,0:09:59,15.408,N,82.02,W
8/19/2011,0:12:00,15.41,N,82.024,W
8/19/2011,0:14:00,15.412,N,82.028,W
8/19/2011,0:15:59,15.413,N,82.032,W
8/19/2011,0:17:59,15.415,N,82.036,W
8/19/2011,0:20:00,15.417,N,82.04,W
8/19/2011,0:22:00,15.418,N,82.044,W
8/19/2011,0:23:59,15.42,N,82.048,W
8/19/2011,0:25:59,15.422,N,82.052,W
8/19/2011,0:28:00,15.423,N,82.056,W
8/19/2011,0:30:00,15.425,N,82.06,W
8/19/2011,0:31:59,15.427,N,82.064,W
8/19/2011,0:34:00,15.428,N,82.068,W
8/19/2011,0:36:00,15.43,N,82.072,W
8/19/2011,0:37:59,15.432,N,82.076,W
8/19/2011,0:39:59,15.433,N,82.08,W
8/19/2011,0:42:00,15.435,N,82.084,W
8/19/2011,0:44:00,15.437,N,82.088,W
8/19/2011,0:45:59,15.438,N,82.092,W
8/19/2011,0:47:59,15.44,N,82.096,W
8/19/2011,0:50:00,15.442,N,82.1,W
8/19/2011,0:52:00,15.443,N,82.104,W
8/19/2011,0:53:59,15.445,N,82.108,W
8/19/2011,0:55:59,15.447,N,82.112,W
8/19/2011,0:58:00,15.448,N,82.116,W
8/19/2011,1:00:00,15.45,N,82.12,W
8/19/2011,1:01:59,15.452,N,82.124,W
8/19/2011,1:04:00,15.453,N,82.128,W
8/19/2011,1:06:00,15.455,N,82.132,W
8/19/2011,1:07:59,15.457,N,82.136,W
8/19/2011,1:09:59,15.458,N,82.14,W
8/19/2011,1:12:00,15.46,N,82.144,W
8/19/2011,1:14:00,15.462,N,82.148,W
8/19/2011,1:15:59,15.463,N,82.152,W
8/19/2011,1:17:59,15.465,N,82.156,W
8/19/2011,1:20:00,15.467,N,82.16,W
8/19/2011,1:22:00,15.468,N,82.164,W
8/19/2011,1:23:59,15.47,N,82.168,W
8/19/2011,1:25:59,15.472,N,82.172,W
8/19/2011,1:28:00,15.473,N,82.176,W
8/19/2011,1:30:00,15.475,N,82.18,W
8/19/2011,1:31:59,15.477,N,82.184,W
8/19/2011,1:34:00,15.478,N,82.188,W
8/19/2011,1:36:00,15.48,N,82.192,W
8/19/2011,1:37:59,15.482,N,82.196,W
8/19/2011,1:39:59,15.483,N,82.2,W
8/19/2011,1:42:00,15.485,N,82.204,W
8/19/2011,1:44:00,15.487,N,82.208,W
8/19/2011,1:45:59,15.488,N,82.212,W
8/19/2011,1:47:59,15.49,N,82.216,W
8/19/2011,1:50:00,15.492,N,82.22,W
8/19/2011,1:52:00,15.493,N,82.223,W
8/19/2011,1:53:59,15.495,N,82.227,W
8/19/2011,1:55:59,15.497,N,82.231,W
8/19/2011,1:58:00,15.498,N,82.235,W
8/19/2011,2:00:00,15.5,N,82.239,W
8/19/2011,2:01:59,15.502,N,82.243,W
8/19/2011,2:04:00,15.503,N,82.247,W
8/19/2011,2:06:00,15.505,N,82.251,W
8/19/2011,2:07:59,15.507,N,82.255,W
8/19/2011,2:09:59,15.508,N,82.259,W
8/19/2011,2:12:00,15.51,N,82.263,W
8/19/2011,2:14:00,15.512,N,82.267,W
8/19/2011,2:15:59,15.513,N,82.271,W
8/19/2011,2:17:59,15.515,N,82.275,W
8/19/2011,2:20:00,15.517,N,82.279,W
8/19/2011,2:22:00,15.518,N,82.283,W
8/19/2011,2:23:59,15.52,N,82.287,W
8/19/2011,2:25:59,15.522,N,82.291,W
8/19/2011,2:28:00,15.523,N,82.295,W
8/19/2011,2:30:00,15.525,N,82.299,W
8/19/2011,2:31:59,15.527,N,82.303,W
8/19/2011,2:34:00,15.528,N,82.307,W
8/19/2011,2:36:00,15.53,N,82.31,W
8/19/2011,2:37:59,15.532,N,82.314,W
8/19/2011,2:39:59,15.533,N,82.318,W
8/19/2011,2:42:00,15.535,N,82.322,W
8/19/2011,2:44:00,15.537,N,82.326,W
8/19/2011,2:45:59,15.538,N,82.33,W
8/19/2011,2:47:59,15.54,N,82.334,W
8/19/2011,2:50:00,15.542,N,82.338,W
8/19/2011,2:52:00,15.543,N,82.342,W
8/19/2011,2:53:59,15.545,N,82.346,W
8/19/2011,2:55:59,15.547,N,82.35,W
8/19/2011,2:58:00,15.548,N,82.354,W
8/19/2011,3:00:00,15.55,N,82.358,W
8/19/2011,3:01:59,15.552,N,82.362,W
8/19/2011,3:04:00,15.553,N,82.365,W
8/19/2011,3:06:00,15.555,N,82.369,W
8/19/2011,3:07:59,15.557,N,82.373,W
