Track,for,Nate,2011,,
Date,Time,(UTC),Latitude,Longitude,
MM/DD/Year,HH:MM:SS,(deg),(deg),,
9/8/2011,11:53:59,19.899,N,92.307,W
9/8/2011,11:56:00,19.899,N,92.305,W
9/8/2011,11:57:59,19.9,N,92.302,W
9/8/2011,12:00:00,19.9,N,92.3,W
9/8/2011,12:02:00,19.9,N,92.298,W
9/8/2011,12:03:59,19.901,N,92.295,W
9/8/2011,12:06:00,19.901,N,92.293,W
9/8/2011,12:07:59,19.902,N,92.291,W
9/8/2011,12:10:00,19.902,N,92.288,W
9/8/2011,12:11:59,19.903,N,92.286,W
9/8/2011,12:14:00,19.903,N,92.284,W
9/8/2011,12:15:59,19.904,N,92.281,W
9/8/2011,12:18:00,19.904,N,92.279,W
9/8/2011,12:19:59,19.905,N,92.277,W
9/8/2011,12:22:00,19.905,N,92.274,W
9/8/2011,12:23:59,19.905,N,92.272,W
9/8/2011,12:26:00,19.906,N,92.27,W
9/8/2011,12:27:59,19.906,N,92.268,W
9/8/2011,12:30:00,19.907,N,92.265,W
9/8/2011,12:32:00,19.907,N,92.263,W
9/8/2011,12:33:59,19.908,N,92.261,W
9/8/2011,12:36:00,19.908,N,92.258,W
9/8/2011,12:37:59,19.908,N,92.256,W
9/8/2011,12:40:00,19.909,N,92.254,W
9/8/2011,12:41:59,19.909,N,92.252,W
9/8/2011,12:44:00,19.91,N,92.249,W
9/8/2011,12:45:59,19.91,N,92.247,W
9/8/2011,12:48:00,19.91,N,92.245,W
9/8/2011,12:49:59,19.911,N,92.243,W
9/8/2011,12:52:00,19.911,N,92.241,W
9/8/2011,12:53:59,19.911,N,92.238,W
9/8/2011,12:56:00,19.912,N,92.236,W
9/8/2011,12:57:59,19.912,N,92.234,W
9/8/2011,13:00:00,19.912,N,92.232,W
9/8/2011,13:02:00,19.913,N,92.23,W
9/8/2011,13:03:59,19.913,N,92.227,W
9/8/2011,13:06:00,19.913,N,92.225,W
9/8/2011,13:07:59,19.914,N,92.223,W
9/8/2011,13:10:00,19.914,N,92.221,W
9/8/2011,13:11:59,19.914,N,92.219,W
9/8/2011,13:14:00,19.914,N,92.217,W
9/8/2011,13:15:59,19.915,N,92.215,W
9/8/2011,13:18:00,19.915,N,92.213,W
9/8/2011,13:19:59,19.915,N,92.211,W
9/8/2011,13:22:00,19.915,N,92.209,W
9/8/2011,13:23:59,19.916,N,92.206,W
9/8/2011,13:26:00,19.916,N,92.204,W
9/8/2011,13:27:59,19.916,N,92.202,W
9/8/2011,13:30:00,19.916,N,92.2,W
9/8/2011,13:32:00,19.916,N,92.198,W
9/8/2011,13:33:59,19.917,N,92.197,W
9/8/2011,13:36:00,19.917,N,92.195,W
9/8/2011,13:37:59,19.917,N,92.193,W
9/8/2011,13:40:00,19.917,N,92.191,W
9/8/2011,13:41:59,19.917,N,92.189,W
9/8/2011,13:44:00,19.917,N,92.187,W
9/8/2011,13:45:59,19.917,N,92.185,W
9/8/2011,13:48:00,19.917,N,92.183,W
9/8/2011,13:49:59,19.917,N,92.181,W
9/8/2011,13:52:00,19.917,N,92.18,W
9/8/2011,13:53:59,19.917,N,92.178,W
9/8/2011,13:56:00,19.917,N,92.176,W
9/8/2011,13:57:59,19.917,N,92.174,W
9/8/2011,14:00:00,19.917,N,92.173,W
9/8/2011,14:02:00,19.917,N,92.171,W
9/8/2011,14:03:59,19.917,N,92.169,W
9/8/2011,14:06:00,19.917,N,92.168,W
9/8/2011,14:07:59,19.917,N,92.166,W
9/8/2011,14:10:00,19.917,N,92.164,W
9/8/2011,14:11:59,19.916,N,92.163,W
9/8/2011,14:14:00,19.916,N,92.161,W
9/8/2011,14:15:59,19.916,N,92.16,W
9/8/2011,14:18:00,19.916,N,92.158,W
9/8/2011,14:19:59,19.916,N,92.157,W
9/8/2011,14:22:00,19.915,N,92.155,W
9/8/2011,14:23:59,19.915,N,92.154,W
9/8/2011,14:26:00,19.915,N,92.152,W
9/8/2011,14:27:59,19.914,N,92.151,W
9/8/2011,14:30:00,19.914,N,92.149,W
9/8/2011,14:32:00,19.914,N,92.148,W
9/8/2011,14:33:59,19.913,N,92.147,W
9/8/2011,14:36:00,19.913,N,92.145,W
9/8/2011,14:37:59,19.912,N,92.144,W
9/8/2011,14:40:00,19.912,N,92.143,W
9/8/2011,14:41:59,19.912,N,92.142,W
9/8/2011,14:44:00,19.911,N,92.14,W
9/8/2011,14:45:59,19.911,N,92.139,W
9/8/2011,14:48:00,19.91,N,92.138,W
9/8/2011,14:49:59,19.909,N,92.137,W
9/8/2011,14:52:00,19.909,N,92.136,W
9/8/2011,14:53:59,19.908,N,92.135,W
9/8/2011,14:56:00,19.908,N,92.134,W
9/8/2011,14:57:59,19.907,N,92.133,W
9/8/2011,15:00:00,19.906,N,92.132,W
9/8/2011,15:02:00,19.906,N,92.131,W
9/8/2011,15:03:59,19.905,N,92.13,W
9/8/2011,15:06:00,19.904,N,92.129,W
9/8/2011,15:07:59,19.903,N,92.128,W
