Track,for,Earl,2016,,,,
Date,Time,(UTC),Latitude,Longitude,,,
MM/DD/Year,HH:MM:SS,(deg),(deg),,,,
8/2/2016,8:14:00,16.217,N,78.163,W,-8.75,-1.04
8/2/2016,8:15:59,16.216,N,78.173,W,-8.75,-1.03
8/2/2016,8:18:00,16.214,N,78.183,W,-8.74,-1.03
8/2/2016,8:19:59,16.213,N,78.192,W,-8.74,-1.02
8/2/2016,8:22:00,16.212,N,78.202,W,-8.74,-1.02
8/2/2016,8:23:59,16.211,N,78.212,W,-8.74,-1.01
8/2/2016,8:26:00,16.21,N,78.222,W,-8.73,-1.01
8/2/2016,8:27:59,16.209,N,78.232,W,-8.73,-1
8/2/2016,8:30:00,16.208,N,78.242,W,-8.73,-0.99
8/2/2016,8:32:00,16.207,N,78.251,W,-8.73,-0.99
8/2/2016,8:33:59,16.206,N,78.261,W,-8.72,-0.98
8/2/2016,8:36:00,16.205,N,78.271,W,-8.72,-0.98
8/2/2016,8:37:59,16.204,N,78.281,W,-8.72,-0.97
8/2/2016,8:40:00,16.203,N,78.291,W,-8.72,-0.96
8/2/2016,8:41:59,16.202,N,78.3,W,-8.71,-0.96
8/2/2016,8:44:00,16.201,N,78.31,W,-8.71,-0.95
8/2/2016,8:45:59,16.199,N,78.32,W,-8.71,-0.95
8/2/2016,8:48:00,16.198,N,78.33,W,-8.7,-0.94
8/2/2016,8:49:59,16.197,N,78.34,W,-8.7,-0.93
8/2/2016,8:52:00,16.196,N,78.349,W,-8.7,-0.93
8/2/2016,8:53:59,16.195,N,78.359,W,-8.69,-0.92
8/2/2016,8:56:00,16.194,N,78.369,W,-8.69,-0.91
8/2/2016,8:57:59,16.194,N,78.379,W,-8.69,-0.91
8/2/2016,9:00:00,16.193,N,78.388,W,-8.68,-0.9
8/2/2016,9:02:00,16.192,N,78.398,W,-8.68,-0.89
8/2/2016,9:03:59,16.191,N,78.408,W,-8.68,-0.89
8/2/2016,9:06:00,16.19,N,78.418,W,-8.67,-0.88
8/2/2016,9:07:59,16.189,N,78.427,W,-8.67,-0.87
8/2/2016,9:10:00,16.188,N,78.437,W,-8.67,-0.86
8/2/2016,9:11:59,16.187,N,78.447,W,-8.66,-0.86
8/2/2016,9:14:00,16.186,N,78.457,W,-8.66,-0.85
8/2/2016,9:15:59,16.185,N,78.466,W,-8.66,-0.84
