Track,for,Nicole,2010,,,
Date,Time,(UTC),Latitude,Longitude,,Category
MM/DD/Year,HH:MM:SS,(deg),(deg),,,
9/27/2010,23:53:59,19.394,N,84.11,W,0
9/27/2010,23:55:59,19.396,N,84.107,W,0
9/27/2010,23:58:00,19.398,N,84.103,W,0
9/28/2010,0:00:00,19.4,N,84.1,W,0
9/28/2010,0:02:00,19.402,N,84.097,W,0
9/28/2010,0:04:00,19.404,N,84.093,W,0
9/28/2010,0:06:00,19.406,N,84.09,W,0
9/28/2010,0:08:00,19.408,N,84.086,W,0
9/28/2010,0:10:00,19.41,N,84.083,W,0
9/28/2010,0:12:00,19.412,N,84.079,W,0
9/28/2010,0:14:00,19.414,N,84.076,W,0
9/28/2010,0:16:00,19.416,N,84.072,W,0
9/28/2010,0:18:00,19.418,N,84.069,W,0
9/28/2010,0:20:00,19.42,N,84.065,W,0
9/28/2010,0:22:00,19.422,N,84.062,W,0
9/28/2010,0:24:00,19.424,N,84.058,W,0
9/28/2010,0:26:00,19.426,N,84.055,W,0
9/28/2010,0:28:00,19.428,N,84.051,W,0
9/28/2010,0:30:00,19.43,N,84.048,W,0
9/28/2010,0:32:00,19.432,N,84.044,W,0
9/28/2010,0:34:00,19.434,N,84.041,W,0
9/28/2010,0:36:00,19.436,N,84.037,W,0
9/28/2010,0:38:00,19.438,N,84.034,W,0
9/28/2010,0:40:00,19.44,N,84.03,W,0
9/28/2010,0:42:00,19.442,N,84.027,W,0
9/28/2010,0:44:00,19.444,N,84.023,W,0
9/28/2010,0:46:00,19.446,N,84.02,W,0
9/28/2010,0:48:00,19.448,N,84.016,W,0
9/28/2010,0:50:00,19.45,N,84.013,W,0
9/28/2010,0:52:00,19.452,N,84.009,W,0
9/28/2010,0:54:00,19.455,N,84.006,W,0
9/28/2010,0:56:00,19.457,N,84.002,W,0
9/28/2010,0:58:00,19.459,N,83.999,W,0
9/28/2010,1:00:00,19.461,N,83.995,W,0
9/28/2010,1:01:59,19.463,N,83.992,W,0
9/28/2010,1:04:00,19.465,N,83.988,W,0
9/28/2010,1:06:00,19.467,N,83.985,W,0
9/28/2010,1:07:59,19.469,N,83.981,W,0
9/28/2010,1:09:59,19.471,N,83.978,W,0
9/28/2010,1:12:00,19.473,N,83.974,W,0
9/28/2010,1:14:00,19.475,N,83.971,W,0
9/28/2010,1:15:59,19.477,N,83.967,W,0
9/28/2010,1:17:59,19.479,N,83.964,W,0
9/28/2010,1:20:00,19.481,N,83.96,W,0
9/28/2010,1:22:00,19.483,N,83.957,W,0
9/28/2010,1:23:59,19.485,N,83.954,W,0
9/28/2010,1:25:59,19.487,N,83.95,W,0
9/28/2010,1:28:00,19.489,N,83.947,W,0
9/28/2010,1:30:00,19.491,N,83.943,W,0
9/28/2010,1:31:59,19.493,N,83.94,W,0
9/28/2010,1:34:00,19.495,N,83.936,W,0
9/28/2010,1:36:00,19.497,N,83.933,W,0
9/28/2010,1:38:00,19.499,N,83.929,W,0
9/28/2010,1:39:59,19.502,N,83.926,W,0
9/28/2010,1:42:00,19.504,N,83.922,W,0
9/28/2010,1:44:00,19.506,N,83.919,W,0
