Track,for,Otto,2010,,
Date,Time,(UTC),Latitude,Longitude,
MM/DD/Year,HH:MM:SS,(deg),(deg),,
10/6/2010,11:53:59,22.597,N,67.788,W
10/6/2010,11:56:00,22.598,N,67.792,W
10/6/2010,11:57:59,22.599,N,67.796,W
10/6/2010,12:00:00,22.6,N,67.8,W
10/6/2010,12:02:00,22.601,N,67.804,W
10/6/2010,12:03:59,22.602,N,67.808,W
10/6/2010,12:06:00,22.603,N,67.812,W
10/6/2010,12:07:59,22.603,N,67.816,W
10/6/2010,12:10:00,22.604,N,67.82,W
10/6/2010,12:11:59,22.605,N,67.824,W
10/6/2010,12:14:00,22.606,N,67.828,W
10/6/2010,12:15:59,22.607,N,67.832,W
10/6/2010,12:18:00,22.608,N,67.836,W
10/6/2010,12:19:59,22.608,N,67.84,W
10/6/2010,12:22:00,22.609,N,67.844,W
10/6/2010,12:23:59,22.61,N,67.848,W
10/6/2010,12:26:00,22.611,N,67.851,W
10/6/2010,12:27:59,22.612,N,67.855,W
10/6/2010,12:30:00,22.613,N,67.859,W
10/6/2010,12:32:00,22.614,N,67.863,W
10/6/2010,12:33:59,22.614,N,67.867,W
10/6/2010,12:36:00,22.615,N,67.871,W
10/6/2010,12:37:59,22.616,N,67.875,W
10/6/2010,12:40:00,22.617,N,67.879,W
10/6/2010,12:41:59,22.618,N,67.883,W
10/6/2010,12:44:00,22.619,N,67.887,W
10/6/2010,12:45:59,22.62,N,67.891,W
10/6/2010,12:48:00,22.62,N,67.895,W
10/6/2010,12:49:59,22.621,N,67.898,W
10/6/2010,12:52:00,22.622,N,67.902,W
10/6/2010,12:53:59,22.623,N,67.906,W
10/6/2010,12:56:00,22.624,N,67.91,W
10/6/2010,12:57:59,22.625,N,67.914,W
10/6/2010,13:00:00,22.626,N,67.918,W
10/6/2010,13:02:00,22.627,N,67.922,W
10/6/2010,13:03:59,22.627,N,67.925,W
10/6/2010,13:06:00,22.628,N,67.929,W
10/6/2010,13:07:59,22.629,N,67.933,W
10/6/2010,13:10:00,22.63,N,67.937,W
10/6/2010,13:11:59,22.631,N,67.941,W
10/6/2010,13:14:00,22.632,N,67.945,W
10/6/2010,13:15:59,22.633,N,67.948,W
10/6/2010,13:18:00,22.634,N,67.952,W
10/6/2010,13:19:59,22.635,N,67.956,W
10/6/2010,13:22:00,22.636,N,67.96,W
10/6/2010,13:23:59,22.637,N,67.963,W
10/6/2010,13:26:00,22.637,N,67.967,W
10/6/2010,13:27:59,22.638,N,67.971,W
10/6/2010,13:30:00,22.639,N,67.975,W
10/6/2010,13:32:00,22.64,N,67.978,W
10/6/2010,13:33:59,22.641,N,67.982,W
10/6/2010,13:36:00,22.642,N,67.986,W
10/6/2010,13:37:59,22.643,N,67.989,W
10/6/2010,13:40:00,22.644,N,67.993,W
10/6/2010,13:41:59,22.645,N,67.997,W
10/6/2010,13:44:00,22.646,N,68,W
10/6/2010,13:45:59,22.647,N,68.004,W
10/6/2010,13:48:00,22.648,N,68.007,W
10/6/2010,13:49:59,22.649,N,68.011,W
10/6/2010,13:52:00,22.65,N,68.014,W
10/6/2010,13:53:59,22.651,N,68.018,W
10/6/2010,13:56:00,22.652,N,68.022,W
10/6/2010,13:57:59,22.653,N,68.025,W
10/6/2010,14:00:00,22.654,N,68.029,W
10/6/2010,14:02:00,22.655,N,68.032,W
10/6/2010,14:03:59,22.656,N,68.036,W
10/6/2010,14:06:00,22.657,N,68.039,W
10/6/2010,14:07:59,22.658,N,68.042,W
10/6/2010,14:10:00,22.659,N,68.046,W
10/6/2010,14:11:59,22.66,N,68.049,W
10/6/2010,14:14:00,22.661,N,68.053,W
10/6/2010,14:15:59,22.662,N,68.056,W
10/6/2010,14:18:00,22.663,N,68.059,W
10/6/2010,14:19:59,22.664,N,68.063,W
10/6/2010,14:22:00,22.665,N,68.066,W
10/6/2010,14:23:59,22.666,N,68.069,W
10/6/2010,14:26:00,22.667,N,68.073,W
10/6/2010,14:27:59,22.668,N,68.076,W
10/6/2010,14:30:00,22.67,N,68.079,W
10/6/2010,14:32:00,22.671,N,68.082,W
10/6/2010,14:33:59,22.672,N,68.086,W
10/6/2010,14:36:00,22.673,N,68.089,W
10/6/2010,14:37:59,22.674,N,68.092,W
10/6/2010,14:40:00,22.675,N,68.095,W
10/6/2010,14:41:59,22.676,N,68.098,W
10/6/2010,14:44:00,22.677,N,68.101,W
10/6/2010,14:45:59,22.679,N,68.104,W
10/6/2010,14:48:00,22.68,N,68.107,W
10/6/2010,14:49:59,22.681,N,68.111,W
10/6/2010,14:52:00,22.682,N,68.114,W
10/6/2010,14:53:59,22.683,N,68.117,W
10/6/2010,14:56:00,22.684,N,68.12,W
10/6/2010,14:57:59,22.686,N,68.122,W
10/6/2010,15:00:00,22.687,N,68.125,W
10/6/2010,15:02:00,22.688,N,68.128,W
10/6/2010,15:03:59,22.689,N,68.131,W
10/6/2010,15:06:00,22.691,N,68.134,W
10/6/2010,15:07:59,22.692,N,68.137,W
