Track for Colin                2010
Date       Time (UTC)   Latitude     Longitude
MM/DD/Year HH:MM:SS      (deg)         (deg)
08/06/2010 12:16:30     27.261 N     66.464 W
08/06/2010 12:18:31     27.263 N     66.465 W
08/06/2010 12:20:31     27.265 N     66.467 W
08/06/2010 12:22:31     27.267 N     66.468 W
08/06/2010 12:24:31     27.269 N     66.469 W
08/06/2010 12:26:30     27.271 N     66.470 W
08/06/2010 12:28:30     27.273 N     66.471 W
08/06/2010 12:30:30     27.275 N     66.472 W
08/06/2010 12:32:30     27.278 N     66.473 W
08/06/2010 12:34:31     27.280 N     66.475 W
08/06/2010 12:36:31     27.282 N     66.476 W
08/06/2010 12:38:31     27.284 N     66.477 W
08/06/2010 12:40:30     27.286 N     66.478 W
08/06/2010 12:42:30     27.288 N     66.480 W
08/06/2010 12:44:30     27.291 N     66.481 W
08/06/2010 12:46:30     27.293 N     66.482 W
08/06/2010 12:48:31     27.295 N     66.483 W
08/06/2010 12:50:31     27.297 N     66.485 W
08/06/2010 12:52:31     27.300 N     66.486 W
08/06/2010 12:54:31     27.302 N     66.487 W
08/06/2010 12:56:30     27.304 N     66.489 W
08/06/2010 12:58:30     27.307 N     66.490 W
08/06/2010 13:00:30     27.309 N     66.491 W
08/06/2010 13:02:30     27.311 N     66.493 W
08/06/2010 13:04:31     27.314 N     66.494 W
08/06/2010 13:06:31     27.316 N     66.496 W
08/06/2010 13:08:31     27.319 N     66.497 W
08/06/2010 13:10:30     27.321 N     66.499 W
08/06/2010 13:12:30     27.324 N     66.500 W
08/06/2010 13:14:30     27.326 N     66.501 W
08/06/2010 13:16:30     27.329 N     66.503 W
08/06/2010 13:18:31     27.331 N     66.504 W
08/06/2010 13:20:31     27.334 N     66.506 W
08/06/2010 13:22:31     27.336 N     66.508 W
08/06/2010 13:24:31     27.339 N     66.509 W
08/06/2010 13:26:30     27.341 N     66.511 W
08/06/2010 13:28:30     27.344 N     66.512 W
08/06/2010 13:30:30     27.347 N     66.514 W
08/06/2010 13:32:30     27.349 N     66.515 W
08/06/2010 13:34:31     27.352 N     66.517 W
08/06/2010 13:36:31     27.355 N     66.519 W
08/06/2010 13:38:31     27.357 N     66.520 W
08/06/2010 13:40:30     27.360 N     66.522 W
08/06/2010 13:42:30     27.363 N     66.523 W
08/06/2010 13:44:30     27.365 N     66.525 W
08/06/2010 13:46:30     27.368 N     66.527 W
08/06/2010 13:48:31     27.371 N     66.529 W
08/06/2010 13:50:31     27.374 N     66.530 W
08/06/2010 13:52:31     27.377 N     66.532 W
08/06/2010 13:54:31     27.379 N     66.534 W
08/06/2010 13:56:30     27.382 N     66.535 W
08/06/2010 13:58:30     27.385 N     66.537 W
08/06/2010 14:00:30     27.388 N     66.539 W
08/06/2010 14:02:30     27.391 N     66.541 W
08/06/2010 14:04:31     27.394 N     66.542 W
08/06/2010 14:06:31     27.397 N     66.544 W
08/06/2010 14:08:31     27.399 N     66.546 W
08/06/2010 14:10:30     27.402 N     66.548 W
08/06/2010 14:12:30     27.405 N     66.550 W
08/06/2010 14:14:30     27.408 N     66.552 W
08/06/2010 14:16:30     27.411 N     66.553 W
08/06/2010 14:18:31     27.414 N     66.555 W
08/06/2010 14:20:31     27.417 N     66.557 W
08/06/2010 14:22:31     27.420 N     66.559 W
08/06/2010 14:24:31     27.423 N     66.561 W
08/06/2010 14:26:30     27.426 N     66.563 W
08/06/2010 14:28:30     27.429 N     66.565 W
08/06/2010 14:30:30     27.432 N     66.567 W
08/06/2010 14:32:30     27.436 N     66.569 W
08/06/2010 14:34:31     27.439 N     66.571 W
08/06/2010 14:36:31     27.442 N     66.573 W
08/06/2010 14:38:31     27.445 N     66.575 W
08/06/2010 14:40:30     27.448 N     66.577 W
08/06/2010 14:42:30     27.451 N     66.579 W
08/06/2010 14:44:30     27.454 N     66.581 W
08/06/2010 14:46:30     27.457 N     66.583 W
08/06/2010 14:48:31     27.461 N     66.585 W
08/06/2010 14:50:31     27.464 N     66.587 W
08/06/2010 14:52:31     27.467 N     66.589 W
08/06/2010 14:54:31     27.470 N     66.591 W
08/06/2010 14:56:30     27.474 N     66.593 W
08/06/2010 14:58:30     27.477 N     66.595 W
08/06/2010 15:00:30     27.480 N     66.597 W
08/06/2010 15:02:30     27.483 N     66.599 W
08/06/2010 15:04:31     27.487 N     66.601 W
08/06/2010 15:06:31     27.490 N     66.603 W
08/06/2010 15:08:31     27.493 N     66.605 W
08/06/2010 15:10:30     27.497 N     66.608 W
08/06/2010 15:12:30     27.500 N     66.610 W
08/06/2010 15:14:30     27.503 N     66.612 W
08/06/2010 15:16:30     27.507 N     66.614 W
08/06/2010 15:18:31     27.510 N     66.616 W
08/06/2010 15:20:31     27.513 N     66.618 W
08/06/2010 15:22:31     27.517 N     66.621 W
08/06/2010 15:24:31     27.520 N     66.623 W
08/06/2010 15:26:30     27.524 N     66.625 W
08/06/2010 15:28:30     27.527 N     66.627 W
08/06/2010 15:30:30     27.530 N     66.629 W
08/06/2010 15:32:30     27.534 N     66.632 W
08/06/2010 15:34:31     27.537 N     66.634 W
08/06/2010 15:36:31     27.541 N     66.636 W
08/06/2010 15:38:31     27.544 N     66.638 W
08/06/2010 15:40:30     27.548 N     66.641 W
08/06/2010 15:42:30     27.551 N     66.643 W
08/06/2010 15:44:30     27.555 N     66.645 W
08/06/2010 15:46:30     27.558 N     66.647 W
08/06/2010 15:48:31     27.562 N     66.650 W
08/06/2010 15:50:31     27.565 N     66.652 W
08/06/2010 15:52:31     27.569 N     66.654 W
08/06/2010 15:54:31     27.573 N     66.657 W
08/06/2010 15:56:30     27.576 N     66.659 W
08/06/2010 15:58:30     27.580 N     66.661 W
08/06/2010 16:00:30     27.583 N     66.664 W
08/06/2010 16:02:30     27.587 N     66.666 W
08/06/2010 16:04:31     27.591 N     66.668 W
08/06/2010 16:06:31     27.594 N     66.671 W
08/06/2010 16:08:31     27.598 N     66.673 W
08/06/2010 16:10:30     27.601 N     66.676 W
08/06/2010 16:12:30     27.605 N     66.678 W
08/06/2010 16:14:30     27.609 N     66.680 W
08/06/2010 16:16:30     27.612 N     66.683 W
08/06/2010 16:18:31     27.616 N     66.685 W
08/06/2010 16:20:31     27.620 N     66.688 W
08/06/2010 16:22:31     27.624 N     66.690 W
08/06/2010 16:24:31     27.627 N     66.692 W
08/06/2010 16:26:30     27.631 N     66.695 W
08/06/2010 16:28:30     27.635 N     66.697 W
08/06/2010 16:30:30     27.638 N     66.700 W
08/06/2010 16:32:30     27.642 N     66.702 W
08/06/2010 16:34:31     27.646 N     66.705 W
08/06/2010 16:36:31     27.650 N     66.707 W
08/06/2010 16:38:31     27.653 N     66.710 W
08/06/2010 16:40:30     27.657 N     66.712 W
08/06/2010 16:42:30     27.661 N     66.715 W
08/06/2010 16:44:30     27.665 N     66.717 W
08/06/2010 16:46:30     27.669 N     66.720 W
08/06/2010 16:48:31     27.672 N     66.722 W
08/06/2010 16:50:31     27.676 N     66.725 W
08/06/2010 16:52:31     27.680 N     66.727 W
08/06/2010 16:54:31     27.684 N     66.730 W
08/06/2010 16:56:30     27.688 N     66.732 W
08/06/2010 16:58:30     27.692 N     66.735 W
08/06/2010 17:00:30     27.695 N     66.737 W
08/06/2010 17:02:30     27.699 N     66.740 W
08/06/2010 17:04:31     27.703 N     66.743 W
08/06/2010 17:06:31     27.707 N     66.745 W
08/06/2010 17:08:31     27.711 N     66.748 W
08/06/2010 17:10:30     27.715 N     66.750 W
08/06/2010 17:12:30     27.719 N     66.753 W
08/06/2010 17:14:30     27.723 N     66.755 W
08/06/2010 17:16:30     27.726 N     66.758 W
08/06/2010 17:18:31     27.730 N     66.761 W
08/06/2010 17:20:31     27.734 N     66.763 W
08/06/2010 17:22:31     27.738 N     66.766 W
08/06/2010 17:24:31     27.742 N     66.768 W
08/06/2010 17:26:30     27.746 N     66.771 W
08/06/2010 17:28:30     27.750 N     66.774 W
08/06/2010 17:30:30     27.754 N     66.776 W
08/06/2010 17:32:30     27.758 N     66.779 W
08/06/2010 17:34:31     27.762 N     66.782 W
08/06/2010 17:36:31     27.766 N     66.784 W
08/06/2010 17:38:31     27.770 N     66.787 W
08/06/2010 17:40:30     27.774 N     66.790 W
08/06/2010 17:42:30     27.778 N     66.792 W
08/06/2010 17:44:30     27.782 N     66.795 W
08/06/2010 17:46:30     27.786 N     66.798 W
08/06/2010 17:48:31     27.790 N     66.800 W
08/06/2010 17:50:31     27.794 N     66.803 W
08/06/2010 17:52:31     27.798 N     66.806 W
08/06/2010 17:54:31     27.802 N     66.808 W
08/06/2010 17:56:30     27.806 N     66.811 W
08/06/2010 17:58:30     27.810 N     66.814 W
08/06/2010 18:00:30     27.814 N     66.816 W
08/06/2010 18:02:30     27.818 N     66.819 W
08/06/2010 18:04:31     27.822 N     66.822 W
08/06/2010 18:06:31     27.826 N     66.824 W
08/06/2010 18:08:31     27.830 N     66.827 W
08/06/2010 18:10:30     27.834 N     66.830 W
08/06/2010 18:12:30     27.838 N     66.832 W
08/06/2010 18:14:30     27.842 N     66.835 W
08/06/2010 18:16:30     27.846 N     66.838 W
08/06/2010 18:18:31     27.850 N     66.841 W
08/06/2010 18:18:47     27.851 N     66.841 W
08/06/2010 18:20:47     27.855 N     66.844 W
08/06/2010 18:22:47     27.859 N     66.847 W
08/06/2010 18:24:46     27.863 N     66.849 W
08/06/2010 18:26:46     27.868 N     66.852 W
08/06/2010 18:28:46     27.872 N     66.855 W
08/06/2010 18:30:46     27.876 N     66.858 W
08/06/2010 18:32:47     27.880 N     66.860 W
08/06/2010 18:34:47     27.884 N     66.863 W
08/06/2010 18:36:47     27.888 N     66.866 W
08/06/2010 18:38:47     27.892 N     66.869 W
08/06/2010 18:40:46     27.896 N     66.871 W
08/06/2010 18:42:46     27.901 N     66.874 W
08/06/2010 18:44:46     27.905 N     66.877 W
08/06/2010 18:46:47     27.909 N     66.880 W
08/06/2010 18:48:47     27.913 N     66.883 W
08/06/2010 18:50:47     27.917 N     66.885 W
08/06/2010 18:52:47     27.921 N     66.888 W
08/06/2010 18:54:46     27.925 N     66.891 W
08/06/2010 18:56:46     27.930 N     66.894 W
08/06/2010 18:58:46     27.934 N     66.896 W
08/06/2010 19:00:46     27.938 N     66.899 W
08/06/2010 19:02:47     27.942 N     66.902 W
08/06/2010 19:04:47     27.946 N     66.905 W
08/06/2010 19:06:47     27.950 N     66.907 W
08/06/2010 19:08:47     27.954 N     66.910 W
08/06/2010 19:10:46     27.958 N     66.913 W
08/06/2010 19:12:46     27.963 N     66.916 W
08/06/2010 19:14:46     27.967 N     66.919 W
08/06/2010 19:16:47     27.971 N     66.921 W
08/06/2010 19:18:47     27.975 N     66.924 W
08/06/2010 19:20:47     27.979 N     66.927 W
08/06/2010 19:22:47     27.983 N     66.930 W
08/06/2010 19:24:46     27.987 N     66.932 W
08/06/2010 19:26:46     27.992 N     66.935 W
08/06/2010 19:28:46     27.996 N     66.938 W
08/06/2010 19:30:46     28.000 N     66.941 W
08/06/2010 19:32:47     28.004 N     66.943 W
08/06/2010 19:34:47     28.008 N     66.946 W
08/06/2010 19:36:47     28.012 N     66.949 W
08/06/2010 19:38:47     28.016 N     66.952 W
08/06/2010 19:40:46     28.020 N     66.955 W
08/06/2010 19:42:46     28.025 N     66.957 W
08/06/2010 19:44:46     28.029 N     66.960 W
08/06/2010 19:46:47     28.033 N     66.963 W
08/06/2010 19:48:47     28.037 N     66.966 W
08/06/2010 19:49:46     28.039 N     66.967 W
08/06/2010 19:51:45     28.043 N     66.969 W
08/06/2010 19:53:45     28.047 N     66.971 W
08/06/2010 19:55:45     28.051 N     66.973 W
08/06/2010 19:57:45     28.055 N     66.975 W
08/06/2010 19:59:46     28.059 N     66.977 W
08/06/2010 20:01:46     28.063 N     66.978 W
08/06/2010 20:03:46     28.068 N     66.980 W
08/06/2010 20:05:46     28.072 N     66.982 W
08/06/2010 20:07:45     28.076 N     66.983 W
08/06/2010 20:09:45     28.080 N     66.985 W
08/06/2010 20:11:45     28.084 N     66.987 W
08/06/2010 20:13:45     28.088 N     66.988 W
08/06/2010 20:15:46     28.092 N     66.989 W
08/06/2010 20:17:46     28.096 N     66.991 W
08/06/2010 20:19:46     28.100 N     66.992 W
08/06/2010 20:21:45     28.104 N     66.993 W
08/06/2010 20:23:45     28.108 N     66.994 W
08/06/2010 20:25:45     28.112 N     66.995 W
08/06/2010 20:27:45     28.116 N     66.996 W
08/06/2010 20:29:46     28.120 N     66.997 W
08/06/2010 20:31:46     28.124 N     66.998 W
08/06/2010 20:33:46     28.128 N     66.999 W
08/06/2010 20:35:46     28.132 N     67.000 W
08/06/2010 20:37:45     28.136 N     67.000 W
08/06/2010 20:39:45     28.140 N     67.001 W
08/06/2010 20:41:45     28.144 N     67.001 W
08/06/2010 20:43:45     28.148 N     67.002 W
08/06/2010 20:45:46     28.152 N     67.002 W
08/06/2010 20:47:46     28.156 N     67.002 W
08/06/2010 20:49:46     28.160 N     67.003 W
08/06/2010 20:51:45     28.164 N     67.003 W
08/06/2010 20:53:45     28.168 N     67.003 W
08/06/2010 20:55:45     28.172 N     67.003 W
08/06/2010 20:57:45     28.176 N     67.003 W
08/06/2010 20:59:46     28.179 N     67.002 W
08/06/2010 21:01:46     28.183 N     67.002 W
08/06/2010 21:03:46     28.187 N     67.002 W
08/06/2010 21:05:46     28.191 N     67.001 W
08/06/2010 21:07:45     28.195 N     67.001 W
08/06/2010 21:09:45     28.199 N     67.000 W
08/06/2010 21:11:45     28.203 N     66.999 W
08/06/2010 21:13:45     28.207 N     66.999 W
08/06/2010 21:15:46     28.211 N     66.998 W
08/06/2010 21:17:46     28.215 N     66.997 W
08/06/2010 21:19:46     28.218 N     66.996 W
08/06/2010 21:21:45     28.222 N     66.994 W
08/06/2010 21:23:45     28.226 N     66.993 W
08/06/2010 21:25:45     28.230 N     66.992 W
08/06/2010 21:27:45     28.234 N     66.990 W
08/06/2010 21:29:46     28.238 N     66.989 W
08/06/2010 21:31:46     28.242 N     66.987 W
08/06/2010 21:33:46     28.245 N     66.985 W
08/06/2010 21:35:46     28.249 N     66.983 W
08/06/2010 21:37:45     28.253 N     66.982 W
08/06/2010 21:39:45     28.257 N     66.979 W
08/06/2010 21:41:45     28.261 N     66.977 W
08/06/2010 21:43:45     28.264 N     66.975 W
08/06/2010 21:45:46     28.268 N     66.973 W
08/06/2010 21:47:46     28.272 N     66.970 W
08/06/2010 21:49:46     28.276 N     66.967 W
08/06/2010 21:51:45     28.279 N     66.965 W
08/06/2010 21:53:45     28.283 N     66.962 W
08/06/2010 21:55:45     28.287 N     66.959 W
08/06/2010 21:57:45     28.291 N     66.956 W
08/06/2010 21:59:46     28.294 N     66.953 W
08/06/2010 22:01:46     28.298 N     66.950 W
08/06/2010 22:03:46     28.302 N     66.946 W
08/06/2010 22:05:46     28.306 N     66.943 W
08/06/2010 22:07:45     28.309 N     66.939 W
08/06/2010 22:09:45     28.313 N     66.935 W
08/06/2010 22:11:45     28.317 N     66.931 W
08/06/2010 22:13:45     28.320 N     66.927 W
08/06/2010 22:15:46     28.324 N     66.923 W
08/06/2010 22:17:46     28.328 N     66.919 W
08/06/2010 22:19:46     28.331 N     66.915 W
08/06/2010 22:21:45     28.335 N     66.910 W
08/06/2010 22:23:45     28.338 N     66.906 W
08/06/2010 22:25:45     28.342 N     66.901 W
08/06/2010 22:27:45     28.346 N     66.896 W
08/06/2010 22:29:46     28.349 N     66.891 W
08/06/2010 22:31:46     28.353 N     66.886 W
08/06/2010 22:33:46     28.356 N     66.881 W
08/06/2010 22:35:46     28.360 N     66.876 W
08/06/2010 22:37:45     28.364 N     66.871 W
08/06/2010 22:39:45     28.367 N     66.865 W
08/06/2010 22:41:45     28.371 N     66.860 W
08/06/2010 22:43:45     28.374 N     66.854 W
08/06/2010 22:45:46     28.378 N     66.849 W
08/06/2010 22:47:46     28.381 N     66.843 W
08/06/2010 22:49:46     28.385 N     66.837 W
08/06/2010 22:51:45     28.388 N     66.831 W
08/06/2010 22:53:45     28.392 N     66.825 W
08/06/2010 22:55:45     28.395 N     66.819 W
08/06/2010 22:57:45     28.399 N     66.813 W
08/06/2010 22:59:46     28.402 N     66.807 W
08/06/2010 23:01:46     28.406 N     66.801 W
08/06/2010 23:03:46     28.409 N     66.795 W
08/06/2010 23:05:46     28.412 N     66.788 W
08/06/2010 23:07:45     28.416 N     66.782 W
08/06/2010 23:09:45     28.419 N     66.775 W
08/06/2010 23:11:45     28.423 N     66.769 W
08/06/2010 23:13:45     28.426 N     66.762 W
08/06/2010 23:15:46     28.429 N     66.756 W
08/06/2010 23:17:46     28.433 N     66.749 W
08/06/2010 23:19:46     28.436 N     66.742 W
08/06/2010 23:21:45     28.439 N     66.735 W
08/06/2010 23:23:45     28.443 N     66.728 W
08/06/2010 23:25:45     28.446 N     66.722 W
08/06/2010 23:27:45     28.449 N     66.715 W
08/06/2010 23:29:46     28.452 N     66.708 W
08/06/2010 23:31:46     28.456 N     66.701 W
08/06/2010 23:33:46     28.459 N     66.694 W
08/06/2010 23:35:46     28.462 N     66.687 W
08/06/2010 23:37:45     28.465 N     66.680 W
08/06/2010 23:39:45     28.468 N     66.673 W
08/06/2010 23:41:45     28.472 N     66.665 W
08/06/2010 23:43:45     28.475 N     66.658 W
08/06/2010 23:45:46     28.478 N     66.651 W
08/06/2010 23:47:46     28.481 N     66.644 W
08/06/2010 23:49:46     28.484 N     66.637 W
08/06/2010 23:51:45     28.487 N     66.630 W
08/06/2010 23:53:45     28.490 N     66.622 W
08/06/2010 23:55:45     28.494 N     66.615 W
08/06/2010 23:57:45     28.497 N     66.608 W
08/06/2010 23:59:46     28.500 N     66.601 W
08/07/2010 00:00:00     28.500 N     66.600 W
08/07/2010 00:01:59     28.501 N     66.599 W
08/07/2010 00:03:59     28.501 N     66.597 W
08/07/2010 00:05:59     28.501 N     66.596 W
08/07/2010 00:08:00     28.502 N     66.595 W
08/07/2010 00:10:00     28.502 N     66.593 W
08/07/2010 00:12:00     28.502 N     66.592 W
08/07/2010 00:14:00     28.503 N     66.591 W
08/07/2010 00:15:59     28.503 N     66.590 W
08/07/2010 00:17:59     28.503 N     66.589 W
08/07/2010 00:19:59     28.503 N     66.587 W
08/07/2010 00:21:59     28.503 N     66.586 W
08/07/2010 00:24:00     28.503 N     66.585 W
08/07/2010 00:26:00     28.503 N     66.584 W
08/07/2010 00:28:00     28.503 N     66.583 W
08/07/2010 00:30:00     28.502 N     66.582 W
08/07/2010 00:31:59     28.502 N     66.581 W
08/07/2010 00:33:59     28.502 N     66.580 W
08/07/2010 00:35:59     28.502 N     66.580 W
08/07/2010 00:38:00     28.501 N     66.579 W
08/07/2010 00:40:00     28.501 N     66.578 W
08/07/2010 00:42:00     28.501 N     66.577 W
08/07/2010 00:44:00     28.500 N     66.576 W
08/07/2010 00:45:59     28.500 N     66.576 W
08/07/2010 00:47:59     28.499 N     66.575 W
08/07/2010 00:49:59     28.499 N     66.574 W
08/07/2010 00:51:59     28.498 N     66.573 W
08/07/2010 00:54:00     28.497 N     66.573 W
08/07/2010 00:56:00     28.497 N     66.572 W
08/07/2010 00:58:00     28.496 N     66.572 W
08/07/2010 01:00:00     28.496 N     66.571 W
08/07/2010 01:01:59     28.495 N     66.570 W
08/07/2010 01:03:59     28.494 N     66.570 W
08/07/2010 01:05:59     28.493 N     66.569 W
08/07/2010 01:08:00     28.493 N     66.569 W
08/07/2010 01:10:00     28.492 N     66.568 W
08/07/2010 01:12:00     28.491 N     66.568 W
08/07/2010 01:14:00     28.490 N     66.567 W
08/07/2010 01:15:59     28.489 N     66.567 W
08/07/2010 01:17:59     28.489 N     66.567 W
08/07/2010 01:19:59     28.488 N     66.566 W
08/07/2010 01:21:59     28.487 N     66.566 W
08/07/2010 01:24:00     28.486 N     66.566 W
08/07/2010 01:26:00     28.485 N     66.565 W
08/07/2010 01:28:00     28.484 N     66.565 W
08/07/2010 01:30:00     28.483 N     66.565 W
08/07/2010 01:31:59     28.483 N     66.564 W
08/07/2010 01:33:59     28.482 N     66.564 W
08/07/2010 01:35:59     28.481 N     66.564 W
08/07/2010 01:38:00     28.480 N     66.564 W
08/07/2010 01:40:00     28.479 N     66.564 W
08/07/2010 01:42:00     28.478 N     66.563 W
08/07/2010 01:44:00     28.477 N     66.563 W
08/07/2010 01:45:59     28.476 N     66.563 W
08/07/2010 01:47:59     28.476 N     66.563 W
08/07/2010 01:49:59     28.475 N     66.563 W
08/07/2010 01:51:59     28.474 N     66.563 W
08/07/2010 01:54:00     28.473 N     66.563 W
08/07/2010 01:56:00     28.472 N     66.563 W
08/07/2010 01:58:00     28.471 N     66.563 W
08/07/2010 02:00:00     28.471 N     66.562 W
08/07/2010 02:01:59     28.470 N     66.562 W
08/07/2010 02:03:59     28.469 N     66.562 W
08/07/2010 02:05:59     28.468 N     66.562 W
08/07/2010 02:08:00     28.468 N     66.562 W
08/07/2010 02:10:00     28.467 N     66.562 W
08/07/2010 02:12:00     28.466 N     66.562 W
08/07/2010 02:14:00     28.466 N     66.563 W
08/07/2010 02:15:59     28.465 N     66.563 W
08/07/2010 02:17:59     28.465 N     66.563 W
08/07/2010 02:19:59     28.464 N     66.563 W
08/07/2010 02:21:59     28.463 N     66.563 W
08/07/2010 02:24:00     28.463 N     66.563 W
08/07/2010 02:26:00     28.463 N     66.563 W
08/07/2010 02:28:00     28.462 N     66.563 W
08/07/2010 02:30:00     28.462 N     66.563 W
08/07/2010 02:31:59     28.461 N     66.563 W
08/07/2010 02:33:59     28.461 N     66.564 W
08/07/2010 02:35:59     28.461 N     66.564 W
08/07/2010 02:38:00     28.461 N     66.564 W
08/07/2010 02:40:00     28.460 N     66.564 W
08/07/2010 02:42:00     28.460 N     66.564 W
08/07/2010 02:44:00     28.460 N     66.564 W
08/07/2010 02:45:59     28.460 N     66.565 W
08/07/2010 02:47:59     28.460 N     66.565 W
08/07/2010 02:49:59     28.460 N     66.565 W
08/07/2010 02:51:59     28.460 N     66.565 W
08/07/2010 02:54:00     28.460 N     66.565 W
08/07/2010 02:56:00     28.460 N     66.566 W
08/07/2010 02:58:00     28.461 N     66.566 W
08/07/2010 03:00:00     28.461 N     66.566 W
08/07/2010 03:01:59     28.461 N     66.566 W
08/07/2010 03:03:59     28.462 N     66.567 W
08/07/2010 03:05:59     28.462 N     66.567 W
08/07/2010 03:08:00     28.463 N     66.567 W
08/07/2010 03:10:00     28.463 N     66.567 W
08/07/2010 03:12:00     28.464 N     66.567 W
08/07/2010 03:14:00     28.465 N     66.568 W
08/07/2010 03:15:59     28.465 N     66.568 W
08/07/2010 03:17:59     28.466 N     66.568 W
08/07/2010 03:19:59     28.467 N     66.568 W
08/07/2010 03:21:59     28.468 N     66.569 W
08/07/2010 03:24:00     28.469 N     66.569 W
08/07/2010 03:26:00     28.470 N     66.569 W
08/07/2010 03:28:00     28.471 N     66.569 W
08/07/2010 03:30:00     28.473 N     66.570 W
08/07/2010 03:31:59     28.474 N     66.570 W
08/07/2010 03:33:59     28.475 N     66.570 W
08/07/2010 03:35:59     28.477 N     66.570 W
08/07/2010 03:38:00     28.479 N     66.571 W
08/07/2010 03:40:00     28.480 N     66.571 W
08/07/2010 03:42:00     28.482 N     66.571 W
08/07/2010 03:44:00     28.484 N     66.571 W
08/07/2010 03:45:59     28.486 N     66.572 W
08/07/2010 03:47:59     28.488 N     66.572 W
08/07/2010 03:49:59     28.490 N     66.572 W
08/07/2010 03:51:59     28.492 N     66.572 W
08/07/2010 03:54:00     28.494 N     66.573 W
08/07/2010 03:56:00     28.496 N     66.573 W
08/07/2010 03:58:00     28.499 N     66.573 W
08/07/2010 04:00:00     28.501 N     66.573 W
08/07/2010 04:01:59     28.504 N     66.573 W
08/07/2010 04:03:59     28.506 N     66.574 W
08/07/2010 04:05:59     28.509 N     66.574 W
08/07/2010 04:08:00     28.512 N     66.574 W
08/07/2010 04:10:00     28.515 N     66.574 W
08/07/2010 04:12:00     28.518 N     66.574 W
08/07/2010 04:14:00     28.521 N     66.575 W
08/07/2010 04:15:59     28.524 N     66.575 W
08/07/2010 04:17:59     28.527 N     66.575 W
08/07/2010 04:19:59     28.530 N     66.575 W
08/07/2010 04:21:59     28.533 N     66.575 W
08/07/2010 04:24:00     28.537 N     66.575 W
08/07/2010 04:26:00     28.540 N     66.576 W
08/07/2010 04:28:00     28.543 N     66.576 W
08/07/2010 04:30:00     28.547 N     66.576 W
08/07/2010 04:31:59     28.551 N     66.576 W
08/07/2010 04:33:59     28.554 N     66.576 W
08/07/2010 04:35:59     28.558 N     66.577 W
08/07/2010 04:38:00     28.562 N     66.577 W
08/07/2010 04:40:00     28.566 N     66.577 W
08/07/2010 04:42:00     28.569 N     66.577 W
08/07/2010 04:44:00     28.573 N     66.577 W
08/07/2010 04:45:59     28.578 N     66.577 W
08/07/2010 04:47:59     28.582 N     66.578 W
08/07/2010 04:49:59     28.586 N     66.578 W
08/07/2010 04:51:59     28.590 N     66.578 W
08/07/2010 04:54:00     28.594 N     66.578 W
08/07/2010 04:56:00     28.599 N     66.578 W
08/07/2010 04:58:00     28.603 N     66.578 W
08/07/2010 05:00:00     28.607 N     66.578 W
08/07/2010 05:01:59     28.612 N     66.579 W
08/07/2010 05:03:59     28.617 N     66.579 W
08/07/2010 05:05:59     28.621 N     66.579 W
08/07/2010 05:08:00     28.626 N     66.579 W
08/07/2010 05:10:00     28.631 N     66.579 W
08/07/2010 05:12:00     28.635 N     66.579 W
08/07/2010 05:14:00     28.640 N     66.579 W
08/07/2010 05:15:59     28.645 N     66.580 W
08/07/2010 05:17:59     28.650 N     66.580 W
08/07/2010 05:19:59     28.655 N     66.580 W
08/07/2010 05:21:59     28.660 N     66.580 W
08/07/2010 05:24:00     28.665 N     66.580 W
08/07/2010 05:26:00     28.670 N     66.580 W
08/07/2010 05:28:00     28.675 N     66.580 W
08/07/2010 05:30:00     28.680 N     66.580 W
08/07/2010 05:31:59     28.686 N     66.581 W
08/07/2010 05:33:59     28.691 N     66.581 W
08/07/2010 05:35:59     28.696 N     66.581 W
08/07/2010 05:38:00     28.702 N     66.581 W
08/07/2010 05:40:00     28.707 N     66.581 W
08/07/2010 05:42:00     28.713 N     66.581 W
08/07/2010 05:44:00     28.718 N     66.581 W
08/07/2010 05:45:59     28.724 N     66.581 W
08/07/2010 05:47:59     28.729 N     66.581 W
08/07/2010 05:49:59     28.735 N     66.582 W
08/07/2010 05:51:59     28.741 N     66.582 W
08/07/2010 05:54:00     28.746 N     66.582 W
08/07/2010 05:56:00     28.752 N     66.582 W
08/07/2010 05:58:00     28.758 N     66.582 W
08/07/2010 05:59:07     28.761 N     66.582 W
08/07/2010 06:01:07     28.768 N     66.583 W
08/07/2010 06:03:07     28.775 N     66.583 W
08/07/2010 06:05:06     28.782 N     66.584 W
08/07/2010 06:07:06     28.789 N     66.584 W
08/07/2010 06:09:06     28.796 N     66.585 W
08/07/2010 06:11:06     28.803 N     66.586 W
08/07/2010 06:13:07     28.810 N     66.586 W
08/07/2010 06:15:07     28.817 N     66.587 W
08/07/2010 06:17:07     28.824 N     66.587 W
08/07/2010 06:19:07     28.831 N     66.588 W
08/07/2010 06:21:06     28.838 N     66.588 W
08/07/2010 06:23:06     28.845 N     66.588 W
08/07/2010 06:25:06     28.852 N     66.589 W
08/07/2010 06:27:07     28.859 N     66.589 W
08/07/2010 06:29:07     28.865 N     66.590 W
08/07/2010 06:31:07     28.872 N     66.590 W
08/07/2010 06:33:07     28.879 N     66.590 W
08/07/2010 06:35:06     28.886 N     66.591 W
08/07/2010 06:37:06     28.893 N     66.591 W
08/07/2010 06:39:06     28.899 N     66.591 W
08/07/2010 06:41:06     28.906 N     66.592 W
08/07/2010 06:43:07     28.913 N     66.592 W
