Track for Colin                2010
Date       Time (UTC)   Latitude     Longitude
MM/DD/Year HH:MM:SS      (deg)         (deg)
08/05/2010 22:14:31     25.410 N     66.055 W
08/05/2010 22:16:31     25.420 N     66.058 W
08/05/2010 22:18:30     25.431 N     66.061 W
08/05/2010 22:20:30     25.441 N     66.064 W
08/05/2010 22:22:31     25.452 N     66.067 W
08/05/2010 22:24:31     25.462 N     66.070 W
08/05/2010 22:26:30     25.472 N     66.073 W
08/05/2010 22:28:30     25.483 N     66.076 W
08/05/2010 22:30:31     25.493 N     66.078 W
08/05/2010 22:32:31     25.504 N     66.081 W
08/05/2010 22:34:30     25.514 N     66.084 W
08/05/2010 22:36:31     25.524 N     66.087 W
08/05/2010 22:38:31     25.534 N     66.090 W
08/05/2010 22:40:30     25.545 N     66.093 W
08/05/2010 22:42:30     25.555 N     66.095 W
08/05/2010 22:44:31     25.565 N     66.098 W
08/05/2010 22:46:31     25.575 N     66.101 W
08/05/2010 22:48:30     25.586 N     66.104 W
08/05/2010 22:50:30     25.596 N     66.107 W
08/05/2010 22:52:31     25.606 N     66.109 W
08/05/2010 22:54:31     25.616 N     66.112 W
08/05/2010 22:56:30     25.626 N     66.115 W
08/05/2010 22:58:30     25.636 N     66.118 W
08/05/2010 23:00:31     25.646 N     66.120 W
08/05/2010 23:02:31     25.656 N     66.123 W
08/05/2010 23:04:30     25.667 N     66.126 W
08/05/2010 23:06:31     25.677 N     66.129 W
08/05/2010 23:08:31     25.687 N     66.131 W
08/05/2010 23:10:30     25.696 N     66.134 W
08/05/2010 23:12:30     25.706 N     66.137 W
08/05/2010 23:14:31     25.716 N     66.140 W
08/05/2010 23:16:31     25.726 N     66.142 W
08/05/2010 23:18:30     25.736 N     66.145 W
08/05/2010 23:20:30     25.746 N     66.148 W
08/05/2010 23:22:31     25.756 N     66.150 W
08/05/2010 23:24:31     25.766 N     66.153 W
08/05/2010 23:26:30     25.775 N     66.156 W
08/05/2010 23:28:30     25.785 N     66.158 W
08/05/2010 23:30:31     25.795 N     66.161 W
08/05/2010 23:32:31     25.805 N     66.163 W
08/05/2010 23:34:30     25.814 N     66.166 W
08/05/2010 23:36:31     25.824 N     66.169 W
08/05/2010 23:38:31     25.834 N     66.171 W
08/05/2010 23:40:30     25.843 N     66.174 W
08/05/2010 23:42:30     25.853 N     66.176 W
08/05/2010 23:44:31     25.862 N     66.179 W
08/05/2010 23:46:31     25.872 N     66.182 W
08/05/2010 23:48:30     25.881 N     66.184 W
08/05/2010 23:50:30     25.891 N     66.187 W
08/05/2010 23:52:31     25.900 N     66.189 W
08/05/2010 23:54:31     25.910 N     66.192 W
08/05/2010 23:56:30     25.919 N     66.194 W
08/05/2010 23:58:30     25.929 N     66.197 W
08/06/2010 00:00:31     25.938 N     66.199 W
08/06/2010 00:02:31     25.947 N     66.202 W
08/06/2010 00:04:30     25.957 N     66.204 W
08/06/2010 00:06:31     25.966 N     66.207 W
08/06/2010 00:08:31     25.975 N     66.209 W
08/06/2010 00:10:30     25.984 N     66.212 W
08/06/2010 00:12:30     25.993 N     66.214 W
08/06/2010 00:14:31     26.003 N     66.216 W
08/06/2010 00:16:31     26.012 N     66.219 W
08/06/2010 00:18:30     26.021 N     66.221 W
08/06/2010 00:20:30     26.030 N     66.224 W
08/06/2010 00:22:31     26.039 N     66.226 W
08/06/2010 00:24:31     26.048 N     66.228 W
08/06/2010 00:26:30     26.057 N     66.231 W
08/06/2010 00:28:30     26.066 N     66.233 W
08/06/2010 00:30:31     26.075 N     66.235 W
08/06/2010 00:32:31     26.084 N     66.238 W
08/06/2010 00:34:30     26.093 N     66.240 W
08/06/2010 00:36:31     26.101 N     66.242 W
08/06/2010 00:38:31     26.110 N     66.245 W
08/06/2010 00:40:30     26.119 N     66.247 W
08/06/2010 00:42:30     26.128 N     66.249 W
08/06/2010 00:44:31     26.136 N     66.252 W
08/06/2010 00:46:31     26.145 N     66.254 W
08/06/2010 00:48:30     26.154 N     66.256 W
08/06/2010 00:50:30     26.162 N     66.258 W
08/06/2010 00:52:31     26.171 N     66.261 W
08/06/2010 00:54:31     26.180 N     66.263 W
08/06/2010 00:56:30     26.188 N     66.265 W
08/06/2010 00:58:30     26.197 N     66.267 W
08/06/2010 01:00:31     26.205 N     66.269 W
08/06/2010 01:02:31     26.213 N     66.271 W
08/06/2010 01:04:30     26.222 N     66.274 W
08/06/2010 01:06:31     26.230 N     66.276 W
08/06/2010 01:08:31     26.238 N     66.278 W
08/06/2010 01:10:30     26.247 N     66.280 W
08/06/2010 01:12:30     26.255 N     66.282 W
08/06/2010 01:14:31     26.263 N     66.284 W
08/06/2010 01:16:31     26.271 N     66.286 W
08/06/2010 01:18:30     26.279 N     66.288 W
08/06/2010 01:20:30     26.288 N     66.290 W
08/06/2010 01:22:31     26.296 N     66.292 W
08/06/2010 01:24:31     26.304 N     66.294 W
08/06/2010 01:26:30     26.312 N     66.296 W
08/06/2010 01:28:30     26.320 N     66.298 W
08/06/2010 01:30:31     26.328 N     66.300 W
08/06/2010 01:32:31     26.335 N     66.302 W
08/06/2010 01:34:30     26.343 N     66.304 W
08/06/2010 01:36:31     26.351 N     66.306 W
08/06/2010 01:38:31     26.359 N     66.308 W
08/06/2010 01:40:30     26.367 N     66.310 W
08/06/2010 01:42:30     26.374 N     66.312 W
08/06/2010 01:44:31     26.382 N     66.314 W
08/06/2010 01:46:31     26.390 N     66.316 W
08/06/2010 01:48:30     26.397 N     66.318 W
08/06/2010 01:50:30     26.405 N     66.319 W
08/06/2010 01:52:31     26.412 N     66.321 W
08/06/2010 01:54:31     26.420 N     66.323 W
08/06/2010 01:56:30     26.427 N     66.325 W
08/06/2010 01:58:30     26.435 N     66.327 W
08/06/2010 02:00:31     26.442 N     66.329 W
08/06/2010 02:02:31     26.449 N     66.330 W
08/06/2010 02:04:30     26.457 N     66.332 W
08/06/2010 02:06:31     26.464 N     66.334 W
08/06/2010 02:08:31     26.471 N     66.335 W
08/06/2010 02:10:30     26.478 N     66.337 W
08/06/2010 02:12:30     26.485 N     66.339 W
08/06/2010 02:14:31     26.492 N     66.341 W
08/06/2010 02:16:31     26.499 N     66.342 W
08/06/2010 02:18:30     26.506 N     66.344 W
08/06/2010 02:20:30     26.513 N     66.346 W
08/06/2010 02:22:31     26.520 N     66.347 W
08/06/2010 02:24:31     26.527 N     66.349 W
08/06/2010 02:26:30     26.534 N     66.350 W
08/06/2010 02:28:30     26.541 N     66.352 W
08/06/2010 02:30:31     26.547 N     66.354 W
08/06/2010 02:32:31     26.554 N     66.355 W
08/06/2010 02:34:30     26.561 N     66.357 W
08/06/2010 02:36:31     26.567 N     66.358 W
08/06/2010 02:38:31     26.574 N     66.360 W
08/06/2010 02:40:30     26.581 N     66.361 W
08/06/2010 02:42:30     26.587 N     66.363 W
08/06/2010 02:44:31     26.593 N     66.364 W
08/06/2010 02:46:31     26.600 N     66.365 W
08/06/2010 02:48:30     26.606 N     66.367 W
08/06/2010 02:50:30     26.613 N     66.368 W
08/06/2010 02:52:31     26.619 N     66.370 W
08/06/2010 02:54:31     26.625 N     66.371 W
08/06/2010 02:56:30     26.631 N     66.372 W
08/06/2010 02:58:30     26.637 N     66.374 W
08/06/2010 03:00:31     26.643 N     66.375 W
08/06/2010 03:02:31     26.649 N     66.376 W
08/06/2010 03:04:30     26.655 N     66.378 W
08/06/2010 03:06:31     26.661 N     66.379 W
08/06/2010 03:08:31     26.667 N     66.380 W
08/06/2010 03:10:30     26.673 N     66.381 W
08/06/2010 03:12:30     26.679 N     66.383 W
08/06/2010 03:14:31     26.685 N     66.384 W
08/06/2010 03:16:31     26.690 N     66.385 W
08/06/2010 03:18:30     26.696 N     66.386 W
08/06/2010 03:20:30     26.702 N     66.387 W
