Track,for,Gaston,2004,,
Date,Time,(UTC),Latitude,Longitude,
MM/DD/Year,HH:MM:SS,(deg),(deg),,
8/28/2004,5:54:00,30.695,N,78.195,W
8/28/2004,5:56:00,30.697,N,78.197,W
8/28/2004,5:58:00,30.698,N,78.198,W
8/28/2004,6:00:00,30.7,N,78.2,W
8/28/2004,6:01:59,30.702,N,78.202,W
8/28/2004,6:03:59,30.703,N,78.203,W
8/28/2004,6:05:59,30.705,N,78.205,W
8/28/2004,6:07:59,30.707,N,78.206,W
8/28/2004,6:09:59,30.709,N,78.208,W
8/28/2004,6:11:59,30.71,N,78.21,W
8/28/2004,6:13:59,30.712,N,78.211,W
8/28/2004,6:16:00,30.714,N,78.213,W
8/28/2004,6:18:00,30.716,N,78.215,W
8/28/2004,6:20:00,30.717,N,78.216,W
8/28/2004,6:22:00,30.719,N,78.218,W
8/28/2004,6:24:00,30.721,N,78.219,W
8/28/2004,6:26:00,30.723,N,78.221,W
8/28/2004,6:28:00,30.724,N,78.223,W
8/28/2004,6:30:00,30.726,N,78.224,W
8/28/2004,6:31:59,30.728,N,78.226,W
8/28/2004,6:33:59,30.73,N,78.228,W
8/28/2004,6:35:59,30.731,N,78.229,W
8/28/2004,6:37:59,30.733,N,78.231,W
8/28/2004,6:39:59,30.735,N,78.232,W
8/28/2004,6:41:59,30.737,N,78.234,W
8/28/2004,6:43:59,30.738,N,78.236,W
8/28/2004,6:46:00,30.74,N,78.237,W
8/28/2004,6:48:00,30.742,N,78.239,W
8/28/2004,6:50:00,30.743,N,78.241,W
8/28/2004,6:52:00,30.745,N,78.242,W
8/28/2004,6:54:00,30.747,N,78.244,W
8/28/2004,6:56:00,30.749,N,78.245,W
8/28/2004,6:58:00,30.75,N,78.247,W
8/28/2004,7:00:00,30.752,N,78.249,W
8/28/2004,7:01:59,30.754,N,78.25,W
8/28/2004,7:03:59,30.756,N,78.252,W
8/28/2004,7:05:59,30.757,N,78.253,W
8/28/2004,7:07:59,30.759,N,78.255,W
8/28/2004,7:09:59,30.761,N,78.257,W
8/28/2004,7:11:59,30.763,N,78.258,W
8/28/2004,7:13:59,30.764,N,78.26,W
8/28/2004,7:16:00,30.766,N,78.262,W
8/28/2004,7:18:00,30.768,N,78.263,W
8/28/2004,7:20:00,30.769,N,78.265,W
8/28/2004,7:22:00,30.771,N,78.266,W
8/28/2004,7:24:00,30.773,N,78.268,W
8/28/2004,7:26:00,30.775,N,78.27,W
8/28/2004,7:28:00,30.776,N,78.271,W
8/28/2004,7:30:00,30.778,N,78.273,W
8/28/2004,7:31:59,30.78,N,78.275,W
8/28/2004,7:33:59,30.782,N,78.276,W
8/28/2004,7:35:59,30.783,N,78.278,W
8/28/2004,7:37:59,30.785,N,78.28,W
8/28/2004,7:39:59,30.787,N,78.281,W
8/28/2004,7:41:59,30.788,N,78.283,W
8/28/2004,7:43:59,30.79,N,78.284,W
8/28/2004,7:46:00,30.792,N,78.286,W
8/28/2004,7:48:00,30.794,N,78.288,W
8/28/2004,7:50:00,30.795,N,78.289,W
8/28/2004,7:52:00,30.797,N,78.291,W
8/28/2004,7:54:00,30.799,N,78.293,W
8/28/2004,7:56:00,30.8,N,78.294,W
8/28/2004,7:58:00,30.802,N,78.296,W
8/28/2004,8:00:00,30.804,N,78.297,W
8/28/2004,8:02:00,30.806,N,78.299,W
8/28/2004,8:03:59,30.807,N,78.301,W
8/28/2004,8:06:00,30.809,N,78.302,W
8/28/2004,8:07:59,30.811,N,78.304,W
8/28/2004,8:10:00,30.812,N,78.306,W
8/28/2004,8:11:59,30.814,N,78.307,W
8/28/2004,8:14:00,30.816,N,78.309,W
8/28/2004,8:15:59,30.818,N,78.311,W
8/28/2004,8:18:00,30.819,N,78.312,W
8/28/2004,8:19:59,30.821,N,78.314,W
8/28/2004,8:22:00,30.823,N,78.315,W
8/28/2004,8:23:59,30.824,N,78.317,W
8/28/2004,8:26:00,30.826,N,78.319,W
8/28/2004,8:27:59,30.828,N,78.32,W
8/28/2004,8:30:00,30.83,N,78.322,W
8/28/2004,8:32:00,30.831,N,78.324,W
8/28/2004,8:33:59,30.833,N,78.325,W
8/28/2004,8:36:00,30.835,N,78.327,W
8/28/2004,8:37:59,30.836,N,78.329,W
8/28/2004,8:40:00,30.838,N,78.33,W
8/28/2004,8:41:59,30.84,N,78.332,W
8/28/2004,8:44:00,30.841,N,78.334,W
8/28/2004,8:45:59,30.843,N,78.335,W
8/28/2004,8:48:00,30.845,N,78.337,W
8/28/2004,8:49:59,30.846,N,78.339,W
8/28/2004,8:52:00,30.848,N,78.34,W
8/28/2004,8:53:59,30.85,N,78.342,W
8/28/2004,8:56:00,30.852,N,78.343,W
8/28/2004,8:57:59,30.853,N,78.345,W
8/28/2004,9:00:00,30.855,N,78.347,W
8/28/2004,9:02:00,30.857,N,78.348,W
8/28/2004,9:03:59,30.858,N,78.35,W
8/28/2004,9:06:00,30.86,N,78.352,W
8/28/2004,9:07:59,30.862,N,78.353,W
