Track,for,Katrina,2005,,,
Date,Time,(UTC),Latitude,Longitude,,Category
MM/DD/Year,HH:MM:SS,(deg),(deg),,,
8/23/2005,22:36:31,23.298,N,75.668,W,5
8/23/2005,22:38:31,23.297,N,75.673,W,5
8/23/2005,22:40:32,23.296,N,75.677,W,5
8/23/2005,22:42:32,23.295,N,75.681,W,5
8/23/2005,22:44:31,23.294,N,75.685,W,5
8/23/2005,22:46:31,23.293,N,75.689,W,5
8/23/2005,22:48:32,23.292,N,75.694,W,5
8/23/2005,22:50:31,23.291,N,75.698,W,5
8/23/2005,22:52:31,23.29,N,75.702,W,5
8/23/2005,22:54:32,23.289,N,75.706,W,5
8/23/2005,22:56:32,23.288,N,75.71,W,5
8/23/2005,22:58:31,23.287,N,75.714,W,5
8/23/2005,23:00:31,23.286,N,75.718,W,5
8/23/2005,23:02:32,23.286,N,75.722,W,5
8/23/2005,23:04:32,23.285,N,75.726,W,5
8/23/2005,23:06:31,23.284,N,75.73,W,5
8/23/2005,23:08:31,23.284,N,75.734,W,5
8/23/2005,23:10:32,23.283,N,75.738,W,5
8/23/2005,23:12:32,23.282,N,75.742,W,5
8/23/2005,23:14:31,23.282,N,75.746,W,5
8/23/2005,23:16:31,23.281,N,75.75,W,5
8/23/2005,23:18:32,23.281,N,75.753,W,5
8/23/2005,23:20:31,23.28,N,75.757,W,5
8/23/2005,23:22:31,23.28,N,75.761,W,5
8/23/2005,23:24:32,23.279,N,75.765,W,5
8/23/2005,23:26:32,23.279,N,75.768,W,5
8/23/2005,23:28:31,23.279,N,75.772,W,5
8/23/2005,23:30:31,23.279,N,75.776,W,5
8/23/2005,23:32:32,23.278,N,75.779,W,5
8/23/2005,23:34:32,23.278,N,75.783,W,5
8/23/2005,23:36:31,23.278,N,75.787,W,5
8/23/2005,23:38:31,23.278,N,75.79,W,5
8/23/2005,23:40:32,23.278,N,75.794,W,5
8/23/2005,23:42:32,23.278,N,75.797,W,5
8/23/2005,23:44:31,23.278,N,75.801,W,5
8/23/2005,23:46:31,23.278,N,75.804,W,5
8/23/2005,23:48:32,23.278,N,75.807,W,5
8/23/2005,23:50:31,23.278,N,75.811,W,5
8/23/2005,23:52:31,23.279,N,75.814,W,5
8/23/2005,23:54:32,23.279,N,75.817,W,5
8/23/2005,23:56:32,23.279,N,75.821,W,5
8/23/2005,23:58:31,23.28,N,75.824,W,5
8/24/2005,0:00:31,23.28,N,75.827,W,5
8/24/2005,0:02:32,23.281,N,75.83,W,5
8/24/2005,0:04:32,23.281,N,75.833,W,5
8/24/2005,0:06:31,23.282,N,75.836,W,5
8/24/2005,0:08:31,23.282,N,75.839,W,5
8/24/2005,0:10:32,23.283,N,75.842,W,5
8/24/2005,0:12:32,23.284,N,75.845,W,5
8/24/2005,0:14:31,23.285,N,75.848,W,5
8/24/2005,0:16:31,23.285,N,75.851,W,5
8/24/2005,0:18:32,23.286,N,75.854,W,5
8/24/2005,0:20:31,23.287,N,75.857,W,5
8/24/2005,0:22:31,23.288,N,75.86,W,5
