Track,for,Ingrid,2007,,
Date,Time,(UTC),Latitude,Longitude,
MM/DD/Year,HH:MM:SS,(deg),(deg),,
9/13/2007,11:53:59,14.095,N,47.489,W
9/13/2007,11:56:00,14.096,N,47.493,W
9/13/2007,11:57:59,14.098,N,47.496,W
9/13/2007,12:00:00,14.1,N,47.5,W
9/13/2007,12:02:00,14.102,N,47.504,W
9/13/2007,12:03:59,14.104,N,47.507,W
9/13/2007,12:06:00,14.105,N,47.511,W
9/13/2007,12:07:59,14.107,N,47.514,W
9/13/2007,12:10:00,14.109,N,47.518,W
9/13/2007,12:11:59,14.111,N,47.521,W
9/13/2007,12:14:00,14.113,N,47.525,W
9/13/2007,12:15:59,14.115,N,47.529,W
9/13/2007,12:18:00,14.116,N,47.532,W
9/13/2007,12:19:59,14.118,N,47.536,W
9/13/2007,12:22:00,14.12,N,47.539,W
9/13/2007,12:23:59,14.122,N,47.543,W
9/13/2007,12:26:00,14.124,N,47.546,W
9/13/2007,12:27:59,14.126,N,47.55,W
9/13/2007,12:30:00,14.127,N,47.553,W
9/13/2007,12:32:00,14.129,N,47.557,W
9/13/2007,12:33:59,14.131,N,47.561,W
9/13/2007,12:36:00,14.133,N,47.564,W
9/13/2007,12:37:59,14.135,N,47.568,W
9/13/2007,12:40:00,14.137,N,47.571,W
9/13/2007,12:41:59,14.138,N,47.575,W
9/13/2007,12:44:00,14.14,N,47.578,W
9/13/2007,12:45:59,14.142,N,47.582,W
9/13/2007,12:48:00,14.144,N,47.585,W
9/13/2007,12:49:59,14.146,N,47.589,W
9/13/2007,12:52:00,14.148,N,47.593,W
9/13/2007,12:53:59,14.149,N,47.596,W
9/13/2007,12:56:00,14.151,N,47.6,W
9/13/2007,12:57:59,14.153,N,47.603,W
9/13/2007,13:00:00,14.155,N,47.607,W
9/13/2007,13:02:00,14.157,N,47.61,W
9/13/2007,13:03:59,14.158,N,47.614,W
9/13/2007,13:06:00,14.16,N,47.617,W
9/13/2007,13:07:59,14.162,N,47.621,W
9/13/2007,13:10:00,14.164,N,47.624,W
9/13/2007,13:11:59,14.166,N,47.628,W
9/13/2007,13:14:00,14.168,N,47.632,W
9/13/2007,13:15:59,14.169,N,47.635,W
9/13/2007,13:18:00,14.171,N,47.639,W
9/13/2007,13:19:59,14.173,N,47.642,W
9/13/2007,13:22:00,14.175,N,47.646,W
9/13/2007,13:23:59,14.177,N,47.649,W
9/13/2007,13:26:00,14.178,N,47.653,W
9/13/2007,13:27:59,14.18,N,47.656,W
9/13/2007,13:30:00,14.182,N,47.66,W
9/13/2007,13:32:00,14.184,N,47.663,W
9/13/2007,13:33:59,14.186,N,47.667,W
9/13/2007,13:36:00,14.187,N,47.67,W
9/13/2007,13:37:59,14.189,N,47.674,W
9/13/2007,13:40:00,14.191,N,47.677,W
9/13/2007,13:41:59,14.193,N,47.681,W
9/13/2007,13:44:00,14.195,N,47.684,W
9/13/2007,13:45:59,14.196,N,47.688,W
9/13/2007,13:48:00,14.198,N,47.691,W
9/13/2007,13:49:59,14.2,N,47.695,W
9/13/2007,13:52:00,14.202,N,47.698,W
9/13/2007,13:53:59,14.204,N,47.702,W
9/13/2007,13:56:00,14.205,N,47.705,W
9/13/2007,13:57:59,14.207,N,47.709,W
9/13/2007,14:00:00,14.209,N,47.712,W
9/13/2007,14:02:00,14.211,N,47.716,W
9/13/2007,14:03:59,14.212,N,47.719,W
9/13/2007,14:06:00,14.214,N,47.723,W
9/13/2007,14:07:59,14.216,N,47.726,W
9/13/2007,14:10:00,14.218,N,47.73,W
9/13/2007,14:11:59,14.219,N,47.733,W
9/13/2007,14:14:00,14.221,N,47.737,W
9/13/2007,14:15:59,14.223,N,47.74,W
9/13/2007,14:18:00,14.225,N,47.744,W
9/13/2007,14:19:59,14.227,N,47.747,W
9/13/2007,14:22:00,14.228,N,47.751,W
9/13/2007,14:23:59,14.23,N,47.754,W
9/13/2007,14:26:00,14.232,N,47.757,W
9/13/2007,14:27:59,14.234,N,47.761,W
9/13/2007,14:30:00,14.235,N,47.764,W
9/13/2007,14:32:00,14.237,N,47.768,W
9/13/2007,14:33:59,14.239,N,47.771,W
9/13/2007,14:36:00,14.241,N,47.775,W
9/13/2007,14:37:59,14.242,N,47.778,W
9/13/2007,14:40:00,14.244,N,47.781,W
9/13/2007,14:41:59,14.246,N,47.785,W
9/13/2007,14:44:00,14.247,N,47.788,W
9/13/2007,14:45:59,14.249,N,47.792,W
9/13/2007,14:48:00,14.251,N,47.795,W
9/13/2007,14:49:59,14.253,N,47.799,W
9/13/2007,14:52:00,14.254,N,47.802,W
9/13/2007,14:53:59,14.256,N,47.805,W
9/13/2007,14:56:00,14.258,N,47.809,W
9/13/2007,14:57:59,14.26,N,47.812,W
9/13/2007,15:00:00,14.261,N,47.816,W
9/13/2007,15:02:00,14.263,N,47.819,W
9/13/2007,15:03:59,14.265,N,47.822,W
9/13/2007,15:06:00,14.266,N,47.826,W
9/13/2007,15:07:59,14.268,N,47.829,W
