Track,for,Gustav,2002,,,
Date,Time,(UTC),Latitude,Longitude,,Category
MM/DD/Year,HH:MM:SS,(deg),(deg),,,
9/8/2002,17:25:46,30.053,N,71.152,W,2
9/8/2002,17:27:46,30.057,N,71.153,W,2
9/8/2002,17:29:45,30.061,N,71.153,W,2
9/8/2002,17:31:45,30.065,N,71.154,W,2
9/8/2002,17:33:46,30.069,N,71.155,W,2
9/8/2002,17:35:46,30.073,N,71.156,W,2
9/8/2002,17:37:45,30.077,N,71.156,W,2
9/8/2002,17:39:45,30.081,N,71.157,W,2
9/8/2002,17:41:46,30.084,N,71.158,W,2
9/8/2002,17:43:46,30.088,N,71.159,W,2
9/8/2002,17:45:45,30.092,N,71.159,W,2
9/8/2002,17:47:46,30.096,N,71.16,W,2
9/8/2002,17:49:46,30.1,N,71.161,W,2
9/8/2002,17:51:45,30.104,N,71.162,W,2
9/8/2002,17:53:45,30.108,N,71.163,W,2
9/8/2002,17:55:46,30.112,N,71.164,W,2
9/8/2002,17:57:46,30.115,N,71.165,W,2
9/8/2002,17:59:45,30.119,N,71.166,W,2
9/8/2002,18:01:45,30.123,N,71.167,W,2
9/8/2002,18:03:46,30.127,N,71.168,W,2
9/8/2002,18:05:46,30.131,N,71.169,W,2
9/8/2002,18:07:45,30.134,N,71.17,W,2
9/8/2002,18:09:45,30.138,N,71.171,W,2
9/8/2002,18:11:46,30.142,N,71.172,W,2
9/8/2002,18:13:46,30.146,N,71.173,W,2
9/8/2002,18:15:45,30.149,N,71.174,W,2
9/8/2002,18:17:46,30.153,N,71.176,W,2
9/8/2002,18:19:46,30.157,N,71.177,W,2
9/8/2002,18:21:45,30.16,N,71.178,W,2
9/8/2002,18:23:45,30.164,N,71.18,W,2
9/8/2002,18:25:46,30.167,N,71.181,W,2
9/8/2002,18:27:46,30.171,N,71.183,W,2
9/8/2002,18:29:45,30.174,N,71.184,W,2
9/8/2002,18:31:45,30.178,N,71.186,W,2
9/8/2002,18:33:46,30.182,N,71.188,W,2
9/8/2002,18:35:46,30.185,N,71.19,W,2
9/8/2002,18:37:45,30.188,N,71.191,W,2
9/8/2002,18:39:45,30.192,N,71.193,W,2
9/8/2002,18:41:46,30.195,N,71.195,W,2
9/8/2002,18:43:46,30.199,N,71.197,W,2
9/8/2002,18:45:45,30.202,N,71.199,W,2
9/8/2002,18:47:46,30.205,N,71.202,W,2
9/8/2002,18:49:46,30.208,N,71.204,W,2
9/8/2002,18:51:45,30.212,N,71.206,W,2
9/8/2002,18:53:45,30.215,N,71.209,W,2
9/8/2002,18:55:46,30.218,N,71.211,W,2
9/8/2002,18:57:46,30.221,N,71.214,W,2
9/8/2002,18:59:45,30.224,N,71.217,W,2
9/8/2002,19:01:45,30.227,N,71.219,W,2
9/8/2002,19:03:46,30.23,N,71.222,W,2
9/8/2002,19:05:46,30.233,N,71.225,W,2
9/8/2002,19:07:45,30.236,N,71.228,W,2
9/8/2002,19:09:45,30.239,N,71.232,W,2
9/8/2002,19:11:46,30.242,N,71.235,W,2
9/8/2002,19:13:46,30.245,N,71.238,W,2
9/8/2002,19:15:45,30.247,N,71.242,W,2
