Track,for,Humberto,2001,,,
Date,Time,(UTC),Latitude,Longitude,,Category
MM/DD/Year,HH:MM:SS,(deg),(deg),,,
9/21/2001,15:44:00,25.433,N,64.65,W,2
9/21/2001,15:45:59,25.436,N,64.654,W,2
9/21/2001,15:48:00,25.439,N,64.658,W,2
9/21/2001,15:49:59,25.442,N,64.661,W,2
9/21/2001,15:52:00,25.446,N,64.665,W,2
9/21/2001,15:53:59,25.449,N,64.669,W,2
9/21/2001,15:56:00,25.452,N,64.673,W,2
9/21/2001,15:57:59,25.455,N,64.677,W,2
9/21/2001,16:00:00,25.458,N,64.681,W,2
9/21/2001,16:01:59,25.461,N,64.685,W,2
9/21/2001,16:04:00,25.464,N,64.689,W,2
9/21/2001,16:06:00,25.467,N,64.693,W,2
9/21/2001,16:07:59,25.47,N,64.697,W,2
9/21/2001,16:09:59,25.473,N,64.701,W,2
9/21/2001,16:12:00,25.476,N,64.705,W,2
9/21/2001,16:14:00,25.479,N,64.708,W,2
9/21/2001,16:15:59,25.483,N,64.712,W,2
9/21/2001,16:17:59,25.486,N,64.716,W,2
9/21/2001,16:20:00,25.489,N,64.72,W,2
9/21/2001,16:22:00,25.492,N,64.724,W,2
9/21/2001,16:23:59,25.495,N,64.728,W,2
9/21/2001,16:25:59,25.498,N,64.732,W,2
9/21/2001,16:28:00,25.501,N,64.736,W,2
9/21/2001,16:30:00,25.504,N,64.74,W,2
9/21/2001,16:31:59,25.507,N,64.743,W,2
9/21/2001,16:34:00,25.511,N,64.747,W,2
9/21/2001,16:36:00,25.514,N,64.751,W,2
9/21/2001,16:37:59,25.517,N,64.755,W,2
9/21/2001,16:39:59,25.52,N,64.759,W,2
9/21/2001,16:42:00,25.523,N,64.763,W,2
9/21/2001,16:44:00,25.526,N,64.767,W,2
9/21/2001,16:45:59,25.529,N,64.771,W,2
9/21/2001,16:47:59,25.532,N,64.774,W,2
9/21/2001,16:50:00,25.536,N,64.778,W,2
9/21/2001,16:52:00,25.539,N,64.782,W,2
9/21/2001,16:53:59,25.542,N,64.786,W,2
9/21/2001,16:55:59,25.545,N,64.79,W,2
9/21/2001,16:58:00,25.548,N,64.794,W,2
9/21/2001,17:00:00,25.551,N,64.798,W,2
9/21/2001,17:01:59,25.554,N,64.801,W,2
9/21/2001,17:04:00,25.558,N,64.805,W,2
9/21/2001,17:06:00,25.561,N,64.809,W,2
9/21/2001,17:07:59,25.564,N,64.813,W,2
9/21/2001,17:09:59,25.567,N,64.817,W,2
9/21/2001,17:12:00,25.57,N,64.821,W,2
9/21/2001,17:14:00,25.573,N,64.824,W,2
9/21/2001,17:15:59,25.577,N,64.828,W,2
9/21/2001,17:17:59,25.58,N,64.832,W,2
9/21/2001,17:20:00,25.583,N,64.836,W,2
9/21/2001,17:22:00,25.586,N,64.84,W,2
9/21/2001,17:23:59,25.589,N,64.843,W,2
9/21/2001,17:25:59,25.593,N,64.847,W,2
9/21/2001,17:28:00,25.596,N,64.851,W,2
9/21/2001,17:30:00,25.599,N,64.855,W,2
9/21/2001,17:31:59,25.602,N,64.859,W,2
9/21/2001,17:34:00,25.605,N,64.862,W,2
9/21/2001,17:36:00,25.609,N,64.866,W,2
9/21/2001,17:37:59,25.612,N,64.87,W,2
9/21/2001,17:39:59,25.615,N,64.874,W,2
9/21/2001,17:42:00,25.618,N,64.878,W,2
9/21/2001,17:44:00,25.622,N,64.881,W,2
9/21/2001,17:45:59,25.625,N,64.885,W,2
9/21/2001,17:47:59,25.628,N,64.889,W,2
9/21/2001,17:50:00,25.631,N,64.893,W,2
9/21/2001,17:52:00,25.634,N,64.896,W,2
9/21/2001,17:53:59,25.638,N,64.9,W,2
9/21/2001,17:55:59,25.641,N,64.904,W,2
9/21/2001,17:58:00,25.644,N,64.908,W,2
9/21/2001,18:00:00,25.647,N,64.912,W,2
9/21/2001,18:01:59,25.651,N,64.915,W,2
9/21/2001,18:04:00,25.654,N,64.919,W,2
9/21/2001,18:06:00,25.657,N,64.923,W,2
9/21/2001,18:07:59,25.66,N,64.926,W,2
9/21/2001,18:09:59,25.664,N,64.93,W,2
9/21/2001,18:12:00,25.667,N,64.934,W,2
9/21/2001,18:14:00,25.67,N,64.938,W,2
9/21/2001,18:15:59,25.674,N,64.941,W,2
9/21/2001,18:17:59,25.677,N,64.945,W,2
9/21/2001,18:20:00,25.68,N,64.949,W,2
9/21/2001,18:22:00,25.683,N,64.953,W,2
9/21/2001,18:23:59,25.687,N,64.956,W,2
9/21/2001,18:25:59,25.69,N,64.96,W,2
9/21/2001,18:28:00,25.693,N,64.964,W,2
9/21/2001,18:30:00,25.697,N,64.967,W,2
9/21/2001,18:31:59,25.7,N,64.971,W,2
9/21/2001,18:34:00,25.703,N,64.975,W,2
9/21/2001,18:36:00,25.707,N,64.978,W,2
9/21/2001,18:37:59,25.71,N,64.982,W,2
9/21/2001,18:39:59,25.713,N,64.986,W,2
9/21/2001,18:42:00,25.717,N,64.99,W,2
9/21/2001,18:44:00,25.72,N,64.993,W,2
9/21/2001,18:45:59,25.723,N,64.997,W,2
9/21/2001,18:47:59,25.727,N,65.001,W,2
9/21/2001,18:50:00,25.73,N,65.004,W,2
9/21/2001,18:52:00,25.733,N,65.008,W,2
9/21/2001,18:53:59,25.737,N,65.011,W,2
9/21/2001,18:55:59,25.74,N,65.015,W,2
9/21/2001,18:58:00,25.743,N,65.019,W,2
9/21/2001,19:00:00,25.747,N,65.022,W,2
9/21/2001,19:01:59,25.75,N,65.026,W,2
9/21/2001,19:04:00,25.754,N,65.03,W,2
9/21/2001,19:06:00,25.757,N,65.033,W,2
9/21/2001,19:07:59,25.76,N,65.037,W,2
9/21/2001,19:09:59,25.764,N,65.041,W,2
9/21/2001,19:12:00,25.767,N,65.044,W,2
9/21/2001,19:14:00,25.77,N,65.048,W,2
9/21/2001,19:15:59,25.774,N,65.051,W,2
9/21/2001,19:17:59,25.777,N,65.055,W,2
9/21/2001,19:20:00,25.781,N,65.059,W,2
9/21/2001,19:22:00,25.784,N,65.062,W,2
9/21/2001,19:23:59,25.787,N,65.066,W,2
9/21/2001,19:25:59,25.791,N,65.069,W,2
9/21/2001,19:28:00,25.794,N,65.073,W,2
9/21/2001,19:30:00,25.798,N,65.077,W,2
9/21/2001,19:31:59,25.801,N,65.08,W,2
9/21/2001,19:34:00,25.805,N,65.084,W,2
9/21/2001,19:36:00,25.808,N,65.087,W,2
9/21/2001,19:37:59,25.812,N,65.091,W,2
9/21/2001,19:39:59,25.815,N,65.094,W,2
9/21/2001,19:42:00,25.818,N,65.098,W,2
9/21/2001,19:44:00,25.822,N,65.102,W,2
9/21/2001,19:45:59,25.825,N,65.105,W,2
9/21/2001,19:47:59,25.829,N,65.109,W,2
9/21/2001,19:50:00,25.832,N,65.112,W,2
9/21/2001,19:52:00,25.836,N,65.116,W,2
9/21/2001,19:53:59,25.839,N,65.119,W,2
9/21/2001,19:55:59,25.843,N,65.123,W,2
9/21/2001,19:58:00,25.846,N,65.126,W,2
9/21/2001,20:00:00,25.85,N,65.13,W,2
9/21/2001,20:01:59,25.853,N,65.133,W,2
9/21/2001,20:04:00,25.857,N,65.137,W,2
9/21/2001,20:06:00,25.86,N,65.14,W,2
9/21/2001,20:07:59,25.864,N,65.144,W,2
9/21/2001,20:09:59,25.867,N,65.147,W,2
9/21/2001,20:12:00,25.871,N,65.151,W,2
9/21/2001,20:14:00,25.874,N,65.154,W,2
9/21/2001,20:15:59,25.878,N,65.158,W,2
9/21/2001,20:17:59,25.882,N,65.161,W,2
9/21/2001,20:20:00,25.885,N,65.165,W,2
9/21/2001,20:22:00,25.889,N,65.168,W,2
9/21/2001,20:23:59,25.892,N,65.172,W,2
9/21/2001,20:25:59,25.896,N,65.175,W,2
9/21/2001,20:28:00,25.899,N,65.179,W,2
9/21/2001,20:30:00,25.903,N,65.182,W,2
9/21/2001,20:31:59,25.906,N,65.185,W,2
9/21/2001,20:34:00,25.91,N,65.189,W,2
9/21/2001,20:36:00,25.914,N,65.192,W,2
9/21/2001,20:37:59,25.917,N,65.196,W,2
9/21/2001,20:39:59,25.921,N,65.199,W,2
9/21/2001,20:42:00,25.924,N,65.203,W,2
9/21/2001,20:44:00,25.928,N,65.206,W,2
9/21/2001,20:45:59,25.932,N,65.209,W,2
9/21/2001,20:47:59,25.935,N,65.213,W,2
9/21/2001,20:50:00,25.939,N,65.216,W,2
9/21/2001,20:52:00,25.943,N,65.22,W,2
9/21/2001,20:53:59,25.946,N,65.223,W,2
9/21/2001,20:55:59,25.95,N,65.226,W,2
9/21/2001,20:58:00,25.953,N,65.23,W,2
9/21/2001,21:00:00,25.957,N,65.233,W,2
9/21/2001,21:01:59,25.961,N,65.236,W,2
9/21/2001,21:04:00,25.964,N,65.24,W,2
9/21/2001,21:06:00,25.968,N,65.243,W,2
9/21/2001,21:07:59,25.972,N,65.247,W,2
9/21/2001,21:09:59,25.975,N,65.25,W,2
9/21/2001,21:12:00,25.979,N,65.253,W,2
9/21/2001,21:14:00,25.983,N,65.257,W,2
9/21/2001,21:15:59,25.987,N,65.26,W,2
9/21/2001,21:17:59,25.99,N,65.263,W,2
9/21/2001,21:20:00,25.994,N,65.267,W,2
9/21/2001,21:22:00,25.998,N,65.27,W,2
9/21/2001,21:23:59,26.001,N,65.273,W,2
9/21/2001,21:25:59,26.005,N,65.277,W,2
9/21/2001,21:28:00,26.009,N,65.28,W,2
9/21/2001,21:30:00,26.013,N,65.283,W,2
9/21/2001,21:31:59,26.016,N,65.286,W,2
9/21/2001,21:34:00,26.02,N,65.29,W,2
9/21/2001,21:36:00,26.024,N,65.293,W,2
9/21/2001,21:37:59,26.028,N,65.296,W,2
