Track,for,Beryl,2012,,,
Date,Time,(UTC),Latitude,Longitude,,Category
MM/DD/Year,HH:MM:SS,(deg),(deg),,,
5/26/2012,20:35:31,31.347,N,76.509,W,0
5/26/2012,20:37:31,31.344,N,76.513,W,0
5/26/2012,20:39:32,31.342,N,76.518,W,0
5/26/2012,20:41:32,31.339,N,76.522,W,0
5/26/2012,20:43:31,31.336,N,76.526,W,0
5/26/2012,20:45:31,31.334,N,76.531,W,0
5/26/2012,20:47:32,31.331,N,76.535,W,0
5/26/2012,20:49:32,31.328,N,76.539,W,0
5/26/2012,20:51:31,31.325,N,76.544,W,0
5/26/2012,20:53:31,31.323,N,76.548,W,0
5/26/2012,20:55:32,31.32,N,76.553,W,0
5/26/2012,20:57:32,31.317,N,76.557,W,0
5/26/2012,20:59:31,31.314,N,76.561,W,0
5/26/2012,21:01:31,31.312,N,76.566,W,0
5/26/2012,21:03:32,31.309,N,76.57,W,0
5/26/2012,21:05:31,31.306,N,76.574,W,0
5/26/2012,21:07:31,31.304,N,76.579,W,0
5/26/2012,21:09:32,31.301,N,76.583,W,0
5/26/2012,21:11:32,31.298,N,76.588,W,0
5/26/2012,21:13:31,31.295,N,76.592,W,0
5/26/2012,21:15:31,31.293,N,76.596,W,0
5/26/2012,21:17:32,31.29,N,76.601,W,0
5/26/2012,21:19:32,31.287,N,76.605,W,0
5/26/2012,21:21:31,31.284,N,76.609,W,0
5/26/2012,21:23:31,31.282,N,76.614,W,0
5/26/2012,21:25:32,31.279,N,76.618,W,0
5/26/2012,21:27:32,31.276,N,76.622,W,0
5/26/2012,21:29:31,31.274,N,76.627,W,0
5/26/2012,21:31:31,31.271,N,76.631,W,0
5/26/2012,21:33:32,31.268,N,76.636,W,0
5/26/2012,21:35:31,31.265,N,76.64,W,0
5/26/2012,21:37:31,31.263,N,76.644,W,0
5/26/2012,21:39:32,31.26,N,76.649,W,0
5/26/2012,21:41:32,31.257,N,76.653,W,0
5/26/2012,21:43:31,31.254,N,76.657,W,0
5/26/2012,21:45:31,31.252,N,76.662,W,0
5/26/2012,21:47:32,31.249,N,76.666,W,0
5/26/2012,21:49:32,31.246,N,76.671,W,0
5/26/2012,21:51:31,31.244,N,76.675,W,0
5/26/2012,21:53:31,31.241,N,76.679,W,0
5/26/2012,21:55:32,31.238,N,76.684,W,0
5/26/2012,21:57:32,31.235,N,76.688,W,0
5/26/2012,21:59:31,31.233,N,76.693,W,0
5/26/2012,22:01:31,31.23,N,76.697,W,0
5/26/2012,22:03:32,31.227,N,76.701,W,0
5/26/2012,22:05:31,31.225,N,76.706,W,0
5/26/2012,22:07:31,31.222,N,76.71,W,0
5/26/2012,22:09:32,31.219,N,76.714,W,0
5/26/2012,22:11:32,31.216,N,76.719,W,0
5/26/2012,22:13:31,31.214,N,76.723,W,0
5/26/2012,22:15:31,31.211,N,76.728,W,0
5/26/2012,22:17:32,31.208,N,76.732,W,0
5/26/2012,22:19:32,31.206,N,76.736,W,0
5/26/2012,22:21:31,31.203,N,76.741,W,0
5/26/2012,22:23:31,31.2,N,76.745,W,0
5/26/2012,22:25:32,31.197,N,76.75,W,0
