Track,for,Hermine,2016,,,
Date,Time,(UTC),Latitude,Longitude,,Category
MM/DD/Year,HH:MM:SS,(deg),(deg),,,
8/28/2016,19:54:54,23.751,N,81.682,W,1
8/28/2016,19:56:54,23.75,N,81.687,W,1
8/28/2016,19:58:55,23.748,N,81.691,W,1
8/28/2016,20:00:55,23.747,N,81.696,W,1
8/28/2016,20:02:54,23.746,N,81.701,W,1
8/28/2016,20:04:54,23.744,N,81.705,W,1
8/28/2016,20:06:55,23.743,N,81.71,W,1
8/28/2016,20:08:54,23.741,N,81.714,W,1
8/28/2016,20:10:54,23.74,N,81.719,W,1
8/28/2016,20:12:55,23.738,N,81.724,W,1
8/28/2016,20:14:55,23.737,N,81.728,W,1
8/28/2016,20:16:54,23.735,N,81.733,W,1
8/28/2016,20:18:54,23.734,N,81.738,W,1
8/28/2016,20:20:55,23.732,N,81.742,W,1
8/28/2016,20:22:55,23.731,N,81.747,W,1
8/28/2016,20:24:54,23.729,N,81.752,W,1
8/28/2016,20:26:54,23.727,N,81.756,W,1
8/28/2016,20:28:55,23.725,N,81.761,W,1
8/28/2016,20:30:55,23.723,N,81.766,W,1
8/28/2016,20:32:54,23.721,N,81.77,W,1
8/28/2016,20:34:54,23.719,N,81.775,W,1
8/28/2016,20:36:55,23.717,N,81.78,W,1
8/28/2016,20:38:54,23.715,N,81.784,W,1
8/28/2016,20:40:54,23.712,N,81.789,W,1
8/28/2016,20:42:55,23.71,N,81.794,W,1
8/28/2016,20:44:55,23.707,N,81.799,W,1
8/28/2016,20:46:54,23.705,N,81.803,W,1
8/28/2016,20:48:54,23.702,N,81.808,W,1
8/28/2016,20:50:55,23.699,N,81.813,W,1
8/28/2016,20:52:55,23.696,N,81.818,W,1
8/28/2016,20:54:54,23.693,N,81.823,W,1
8/28/2016,20:56:54,23.69,N,81.827,W,1
8/28/2016,20:58:55,23.686,N,81.832,W,1
8/28/2016,21:00:55,23.683,N,81.837,W,1
8/28/2016,21:02:54,23.679,N,81.842,W,1
8/28/2016,21:04:54,23.675,N,81.847,W,1
8/28/2016,21:06:55,23.671,N,81.852,W,1
8/28/2016,21:08:54,23.667,N,81.857,W,1
8/28/2016,21:10:54,23.662,N,81.862,W,1
8/28/2016,21:12:55,23.658,N,81.867,W,1
8/28/2016,21:14:55,23.653,N,81.872,W,1
8/28/2016,21:16:54,23.648,N,81.877,W,1
8/28/2016,21:18:54,23.643,N,81.882,W,1
8/28/2016,21:20:55,23.638,N,81.887,W,1
8/28/2016,21:22:55,23.633,N,81.892,W,1
8/28/2016,21:24:54,23.627,N,81.897,W,1
8/28/2016,21:26:54,23.622,N,81.902,W,1
8/28/2016,21:28:55,23.616,N,81.907,W,1
8/28/2016,21:30:55,23.61,N,81.912,W,1
8/28/2016,21:32:54,23.604,N,81.917,W,1
8/28/2016,21:34:54,23.598,N,81.922,W,1
8/28/2016,21:36:55,23.592,N,81.928,W,1
8/28/2016,21:38:54,23.586,N,81.933,W,1
8/28/2016,21:40:54,23.58,N,81.938,W,1
8/28/2016,21:41:43,23.577,N,81.94,W,1
8/28/2016,21:43:44,23.572,N,81.951,W,1
