Track,for,Omar,2008,,
Date,Time,(UTC),Latitude,Longitude,
MM/DD/Year,HH:MM:SS,(deg),(deg),,
10/13/2008,10:03:59,15.276,N,69.443,W
10/13/2008,10:06:00,15.275,N,69.447,W
10/13/2008,10:07:59,15.274,N,69.45,W
10/13/2008,10:10:00,15.273,N,69.453,W
10/13/2008,10:11:59,15.272,N,69.456,W
10/13/2008,10:14:00,15.27,N,69.459,W
10/13/2008,10:15:59,15.269,N,69.462,W
10/13/2008,10:18:00,15.268,N,69.465,W
10/13/2008,10:19:59,15.267,N,69.468,W
10/13/2008,10:22:00,15.266,N,69.471,W
10/13/2008,10:23:59,15.264,N,69.474,W
10/13/2008,10:26:00,15.263,N,69.477,W
10/13/2008,10:27:59,15.262,N,69.48,W
10/13/2008,10:30:00,15.261,N,69.483,W
10/13/2008,10:32:00,15.259,N,69.486,W
10/13/2008,10:33:59,15.258,N,69.489,W
10/13/2008,10:36:00,15.257,N,69.492,W
10/13/2008,10:37:59,15.256,N,69.495,W
10/13/2008,10:40:00,15.254,N,69.497,W
10/13/2008,10:41:59,15.253,N,69.5,W
10/13/2008,10:44:00,15.252,N,69.503,W
10/13/2008,10:45:59,15.251,N,69.506,W
10/13/2008,10:48:00,15.249,N,69.509,W
10/13/2008,10:49:59,15.248,N,69.512,W
10/13/2008,10:52:00,15.247,N,69.514,W
10/13/2008,10:53:59,15.246,N,69.517,W
10/13/2008,10:56:00,15.244,N,69.52,W
10/13/2008,10:57:59,15.243,N,69.523,W
10/13/2008,11:00:00,15.242,N,69.526,W
10/13/2008,11:02:00,15.24,N,69.528,W
10/13/2008,11:03:59,15.239,N,69.531,W
10/13/2008,11:06:00,15.238,N,69.534,W
10/13/2008,11:07:59,15.236,N,69.536,W
10/13/2008,11:10:00,15.235,N,69.539,W
10/13/2008,11:11:59,15.234,N,69.542,W
10/13/2008,11:14:00,15.232,N,69.544,W
10/13/2008,11:15:59,15.231,N,69.547,W
10/13/2008,11:18:00,15.23,N,69.549,W
10/13/2008,11:19:59,15.228,N,69.552,W
