Track,for,Gabrielle,2001,,,
Date,Time,(UTC),Latitude,Longitude,,Category
MM/DD/Year,HH:MM:SS,(deg),(deg),,,
9/13/2001,1:26:41,25.084,N,85.874,W,1
9/13/2001,1:28:41,25.082,N,85.877,W,1
9/13/2001,1:30:42,25.081,N,85.88,W,1
9/13/2001,1:32:42,25.079,N,85.883,W,1
9/13/2001,1:34:41,25.077,N,85.886,W,1
9/13/2001,1:36:41,25.075,N,85.889,W,1
9/13/2001,1:38:42,25.073,N,85.891,W,1
9/13/2001,1:40:41,25.071,N,85.894,W,1
9/13/2001,1:42:41,25.069,N,85.896,W,1
9/13/2001,1:44:42,25.067,N,85.898,W,1
9/13/2001,1:46:42,25.065,N,85.901,W,1
9/13/2001,1:48:41,25.063,N,85.903,W,1
9/13/2001,1:50:41,25.061,N,85.904,W,1
9/13/2001,1:52:42,25.059,N,85.906,W,1
9/13/2001,1:54:42,25.057,N,85.908,W,1
9/13/2001,1:56:41,25.055,N,85.909,W,1
9/13/2001,1:58:41,25.053,N,85.911,W,1
9/13/2001,2:00:42,25.051,N,85.912,W,1
9/13/2001,2:02:42,25.049,N,85.913,W,1
9/13/2001,2:04:41,25.048,N,85.914,W,1
9/13/2001,2:06:41,25.046,N,85.915,W,1
9/13/2001,2:08:42,25.044,N,85.915,W,1
9/13/2001,2:10:41,25.042,N,85.916,W,1
9/13/2001,2:12:41,25.04,N,85.916,W,1
9/13/2001,2:14:42,25.038,N,85.916,W,1
9/13/2001,2:16:42,25.036,N,85.916,W,1
9/13/2001,2:18:41,25.034,N,85.916,W,1
9/13/2001,2:20:41,25.032,N,85.916,W,1
9/13/2001,2:22:42,25.03,N,85.916,W,1
9/13/2001,2:24:42,25.028,N,85.915,W,1
9/13/2001,2:26:41,25.026,N,85.915,W,1
9/13/2001,2:28:41,25.024,N,85.914,W,1
9/13/2001,2:30:42,25.023,N,85.913,W,1
9/13/2001,2:32:42,25.021,N,85.912,W,1
9/13/2001,2:34:41,25.019,N,85.911,W,1
9/13/2001,2:36:41,25.017,N,85.909,W,1
9/13/2001,2:38:42,25.015,N,85.908,W,1
9/13/2001,2:40:41,25.013,N,85.906,W,1
9/13/2001,2:42:41,25.011,N,85.904,W,1
9/13/2001,2:44:42,25.009,N,85.902,W,1
9/13/2001,2:46:42,25.007,N,85.9,W,1
9/13/2001,2:48:41,25.005,N,85.897,W,1
9/13/2001,2:50:41,25.004,N,85.895,W,1
9/13/2001,2:52:42,25.002,N,85.892,W,1
9/13/2001,2:54:42,25,N,85.889,W,1
9/13/2001,2:56:41,24.998,N,85.886,W,1
9/13/2001,2:58:41,24.996,N,85.883,W,1
9/13/2001,3:00:42,24.994,N,85.879,W,1
9/13/2001,3:02:42,24.992,N,85.876,W,1
9/13/2001,3:04:41,24.99,N,85.872,W,1
9/13/2001,3:06:41,24.988,N,85.868,W,1
9/13/2001,3:08:42,24.986,N,85.864,W,1
9/13/2001,3:10:41,24.985,N,85.86,W,1
9/13/2001,3:12:41,24.983,N,85.855,W,1
9/13/2001,3:14:42,24.981,N,85.85,W,1
9/13/2001,3:16:42,24.979,N,85.845,W,1
9/13/2001,3:18:41,24.977,N,85.84,W,1
9/13/2001,3:20:41,24.975,N,85.835,W,1
9/13/2001,3:22:42,24.973,N,85.83,W,1
9/13/2001,3:24:42,24.971,N,85.824,W,1
9/13/2001,3:26:41,24.97,N,85.818,W,1
9/13/2001,3:28:41,24.968,N,85.812,W,1
9/13/2001,3:30:42,24.966,N,85.806,W,1
9/13/2001,3:32:42,24.964,N,85.8,W,1
9/13/2001,3:34:41,24.962,N,85.793,W,1
9/13/2001,3:36:41,24.96,N,85.787,W,1
9/13/2001,3:38:42,24.958,N,85.78,W,1
9/13/2001,3:40:41,24.957,N,85.773,W,1
9/13/2001,3:42:41,24.955,N,85.766,W,1
9/13/2001,3:44:42,24.953,N,85.759,W,1
9/13/2001,3:46:42,24.951,N,85.751,W,1
9/13/2001,3:48:41,24.949,N,85.744,W,1
9/13/2001,3:50:41,24.947,N,85.736,W,1
9/13/2001,3:52:42,24.946,N,85.728,W,1
9/13/2001,3:54:42,24.944,N,85.72,W,1
9/13/2001,3:56:41,24.942,N,85.712,W,1
9/13/2001,3:58:41,24.94,N,85.704,W,1
9/13/2001,4:00:42,24.938,N,85.696,W,1
9/13/2001,4:02:42,24.937,N,85.687,W,1
9/13/2001,4:04:41,24.935,N,85.679,W,1
9/13/2001,4:06:41,24.933,N,85.67,W,1
9/13/2001,4:08:42,24.931,N,85.661,W,1
9/13/2001,4:10:41,24.93,N,85.652,W,1
9/13/2001,4:12:41,24.928,N,85.643,W,1
9/13/2001,4:14:42,24.926,N,85.634,W,1
