Track,for,Danielle,2010,,,
Date,Time,(UTC),Latitude,Longitude,,Category
MM/DD/Year,HH:MM:SS,(deg),(deg),,,
8/27/2010,3:44:00,25.982,N,57.926,W,4
8/27/2010,3:46:00,25.986,N,57.931,W,4
8/27/2010,3:47:59,25.989,N,57.937,W,4
8/27/2010,3:49:59,25.992,N,57.942,W,4
8/27/2010,3:51:59,25.996,N,57.948,W,4
8/27/2010,3:54:00,25.999,N,57.954,W,4
8/27/2010,3:56:00,26.002,N,57.959,W,4
8/27/2010,3:58:00,26.005,N,57.965,W,4
8/27/2010,4:00:00,26.009,N,57.97,W,4
8/27/2010,4:01:59,26.012,N,57.976,W,4
8/27/2010,4:03:59,26.015,N,57.981,W,4
8/27/2010,4:05:59,26.019,N,57.987,W,4
8/27/2010,4:07:59,26.022,N,57.992,W,4
8/27/2010,4:09:59,26.025,N,57.998,W,4
8/27/2010,4:11:59,26.028,N,58.003,W,4
8/27/2010,4:13:59,26.032,N,58.009,W,4
8/27/2010,4:16:00,26.035,N,58.014,W,4
8/27/2010,4:18:00,26.038,N,58.02,W,4
8/27/2010,4:20:00,26.042,N,58.025,W,4
8/27/2010,4:22:00,26.045,N,58.031,W,4
8/27/2010,4:24:00,26.048,N,58.037,W,4
8/27/2010,4:26:00,26.051,N,58.042,W,4
8/27/2010,4:28:00,26.055,N,58.048,W,4
8/27/2010,4:30:00,26.058,N,58.053,W,4
8/27/2010,4:31:59,26.061,N,58.059,W,4
8/27/2010,4:33:59,26.064,N,58.064,W,4
8/27/2010,4:35:59,26.067,N,58.07,W,4
8/27/2010,4:37:59,26.071,N,58.075,W,4
8/27/2010,4:39:59,26.074,N,58.081,W,4
8/27/2010,4:41:59,26.077,N,58.086,W,4
8/27/2010,4:43:59,26.08,N,58.092,W,4
8/27/2010,4:46:00,26.084,N,58.097,W,4
8/27/2010,4:48:00,26.087,N,58.103,W,4
8/27/2010,4:50:00,26.09,N,58.108,W,4
8/27/2010,4:52:00,26.093,N,58.114,W,4
8/27/2010,4:54:00,26.096,N,58.119,W,4
8/27/2010,4:56:00,26.1,N,58.125,W,4
8/27/2010,4:58:00,26.103,N,58.13,W,4
8/27/2010,5:00:00,26.106,N,58.136,W,4
8/27/2010,5:01:59,26.109,N,58.141,W,4
8/27/2010,5:03:59,26.112,N,58.147,W,4
8/27/2010,5:05:59,26.116,N,58.152,W,4
8/27/2010,5:07:59,26.119,N,58.158,W,4
8/27/2010,5:09:59,26.122,N,58.163,W,4
8/27/2010,5:11:59,26.125,N,58.169,W,4
8/27/2010,5:13:59,26.128,N,58.174,W,4
8/27/2010,5:16:00,26.131,N,58.18,W,4
8/27/2010,5:18:00,26.135,N,58.185,W,4
8/27/2010,5:20:00,26.138,N,58.191,W,4
8/27/2010,5:22:00,26.141,N,58.196,W,4
8/27/2010,5:24:00,26.144,N,58.202,W,4
8/27/2010,5:26:00,26.147,N,58.207,W,4
8/27/2010,5:28:00,26.15,N,58.213,W,4
8/27/2010,5:30:00,26.153,N,58.218,W,4
8/27/2010,5:31:59,26.157,N,58.224,W,4
8/27/2010,5:33:59,26.16,N,58.229,W,4
